County,State,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,PercentageShootingsOnBlack,PercentageDemogIsBlack
Franklin Parish County,LA,0.00,100.00,100.00,0.00,0.00,32.00
Franklin County,AR,100.00,0.00,100.00,50.00,0.00,0.90
Franklin County,GA,100.00,0.00,100.00,100.00,0.00,9.60
Franklin County,ID,100.00,0.00,100.00,0.00,0.00,0.30
Franklin County,IL,100.00,0.00,100.00,100.00,0.00,0.50
Franklin County,IN,100.00,0.00,100.00,100.00,0.00,0.40
Franklin County,MO,100.00,50.00,100.00,100.00,0.00,1.00
Franklin County,NC,100.00,0.00,100.00,100.00,0.00,26.80
Franklin County,NY,100.00,0.00,100.00,100.00,0.00,6.40
Franklin County,OH,94.44,8.11,94.59,66.67,66.67,22.20
Franklin County,PA,100.00,0.00,100.00,0.00,0.00,3.90
Franklin County,TN,100.00,0.00,66.67,33.33,0.00,5.20
Franklin County,WA,75.00,25.00,100.00,50.00,25.00,2.80
Frederick County,MD,100.00,0.00,100.00,66.67,33.33,9.40
Fredericksburg County,VA,0.00,100.00,0.00,0.00,0.00,24.10
Freeborn County,MN,100.00,0.00,100.00,0.00,0.00,1.10
Freestone County,TX,0.00,100.00,100.00,0.00,0.00,16.50
Fremont County,WY,100.00,0.00,100.00,0.00,0.00,0.70
Fresno County,CA,88.46,14.81,51.85,26.92,3.70,5.90
Frio County,TX,100.00,0.00,0.00,100.00,0.00,3.90
Fulton County,GA,87.10,12.90,93.55,45.16,83.87,44.30
Fulton County,IL,100.00,0.00,100.00,0.00,0.00,3.90
Fulton County,KY,100.00,0.00,100.00,0.00,0.00,24.30
Fulton County,NY,100.00,0.00,100.00,100.00,0.00,2.00
Fulton County,PA,100.00,0.00,100.00,100.00,0.00,1.20
Gadsden County,FL,0.00,100.00,100.00,0.00,0.00,55.20
Gaines County,TX,100.00,0.00,100.00,0.00,0.00,2.20
Gallatin County,MT,100.00,0.00,100.00,100.00,0.00,0.40
Galveston County,TX,90.00,10.00,80.00,30.00,10.00,13.60
Garfield County,CO,100.00,0.00,100.00,66.67,0.00,1.20
Garfield County,OK,100.00,0.00,100.00,0.00,0.00,3.40
Garland County,AR,100.00,0.00,100.00,100.00,0.00,8.50
Garrard County,KY,100.00,0.00,100.00,100.00,0.00,2.20
Gaston County,NC,100.00,14.29,100.00,83.33,28.57,16.10
Geary County,KS,100.00,0.00,100.00,100.00,0.00,18.80
Genesee County,MI,100.00,33.33,100.00,100.00,66.67,20.60
Genesee County,NY,100.00,0.00,0.00,100.00,0.00,3.20
George County,MS,0.00,100.00,100.00,0.00,0.00,8.50
Gibson County,IN,100.00,0.00,100.00,100.00,0.00,2.10
Gibson County,TN,100.00,50.00,100.00,0.00,0.00,18.60
Gila County,AZ,100.00,0.00,100.00,0.00,0.00,0.90
Giles County,VA,100.00,0.00,100.00,0.00,0.00,1.60
Gladwin County,MI,100.00,0.00,100.00,100.00,0.00,0.50
Gloucester County,NJ,100.00,0.00,100.00,50.00,100.00,10.80
Glynn County,GA,100.00,0.00,100.00,100.00,100.00,26.50
Gonzales County,TX,100.00,0.00,100.00,100.00,100.00,7.60
Goochland County,VA,100.00,0.00,100.00,100.00,100.00,17.70
Gooding County,ID,100.00,0.00,100.00,100.00,0.00,0.50
Gordon County,GA,100.00,0.00,100.00,100.00,100.00,4.40
Grady County,OK,80.00,20.00,60.00,40.00,0.00,2.60
Grafton County,NH,50.00,66.67,33.33,0.00,0.00,1.10
Graham County,AZ,100.00,0.00,100.00,100.00,0.00,2.10
Grand Forks County,ND,100.00,0.00,100.00,100.00,0.00,3.50
Granite County,MT,100.00,0.00,100.00,0.00,0.00,0.40
Grant County,AR,100.00,0.00,100.00,0.00,100.00,2.80
Grant County,IN,100.00,0.00,100.00,0.00,0.00,7.30
Grant County,NM,100.00,0.00,100.00,100.00,0.00,1.20
Grant County,WA,100.00,0.00,100.00,100.00,0.00,1.80
Grant County,WI,100.00,0.00,100.00,0.00,0.00,1.30
Grays Harbor County,WA,100.00,0.00,100.00,50.00,0.00,1.40
Grayson County,KY,100.00,0.00,100.00,66.67,0.00,1.20
Grayson County,TX,100.00,33.33,100.00,0.00,33.33,6.20
Grayson County,VA,100.00,0.00,100.00,100.00,0.00,2.30
Green County,WI,100.00,0.00,100.00,100.00,0.00,0.60
Greene County,GA,0.00,100.00,100.00,0.00,100.00,36.60
Greene County,MO,90.91,16.67,100.00,72.73,9.09,3.20
Greene County,OH,100.00,0.00,100.00,0.00,0.00,7.30
Greene County,TN,100.00,0.00,66.67,100.00,33.33,2.20
Greenlee County,AZ,100.00,0.00,100.00,100.00,0.00,1.80
Greenup County,KY,50.00,50.00,100.00,50.00,0.00,1.00
Greenville County,SC,100.00,0.00,76.92,84.62,38.46,18.50
Greenwood County,SC,100.00,0.00,100.00,100.00,100.00,32.10
Gregg County,TX,66.67,33.33,83.33,50.00,33.33,20.50
Grenada County,MS,100.00,0.00,100.00,100.00,0.00,42.40
Guadalupe County,TX,75.00,25.00,75.00,50.00,0.00,7.90
Guernsey County,OH,100.00,0.00,100.00,100.00,0.00,1.60
Guilford County,NC,100.00,0.00,75.00,100.00,57.14,34.00
Gulf County,FL,100.00,0.00,100.00,100.00,0.00,19.10
Gunnison County,CO,100.00,0.00,100.00,100.00,0.00,0.50
Guthrie County,IA,100.00,0.00,100.00,0.00,0.00,0.30
Gwinnett County,GA,100.00,0.00,100.00,50.00,71.43,27.00
Habersham County,GA,100.00,0.00,100.00,100.00,0.00,4.00
Hale County,TX,100.00,0.00,100.00,100.00,0.00,5.90
Hall County,GA,83.33,16.67,83.33,66.67,0.00,8.10
Hall County,NE,100.00,0.00,100.00,0.00,0.00,2.70
Hamblen County,TN,100.00,0.00,100.00,50.00,0.00,4.50
Hamilton County,IA,100.00,0.00,100.00,100.00,100.00,0.80
Hamilton County,IN,100.00,0.00,33.33,100.00,0.00,4.10
Hamilton County,NY,100.00,0.00,100.00,0.00,0.00,1.00
Hamilton County,OH,100.00,0.00,87.50,50.00,85.71,26.10
Hamilton County,TN,94.12,5.88,94.12,58.82,6.67,19.80
Hampden County,MA,100.00,0.00,100.00,0.00,0.00,10.70
Hampshire County,WV,100.00,0.00,100.00,100.00,0.00,1.30
Hampton County,VA,0.00,100.00,100.00,0.00,100.00,49.80
Hancock County,MS,100.00,0.00,100.00,100.00,0.00,8.40
Hancock County,OH,0.00,100.00,100.00,0.00,0.00,1.80
Hancock County,WV,100.00,0.00,100.00,100.00,100.00,2.60
Haralson County,GA,100.00,0.00,100.00,100.00,100.00,5.10
Hardeman County,TX,100.00,0.00,100.00,0.00,0.00,6.10
Hardin County,KY,100.00,0.00,100.00,66.67,33.33,12.80
Hardin County,TN,100.00,0.00,100.00,100.00,0.00,3.70
Hardin County,TX,100.00,0.00,100.00,50.00,0.00,5.70
Harford County,MD,66.67,33.33,100.00,66.67,0.00,13.40
Harlan County,KY,100.00,0.00,100.00,100.00,0.00,2.30
Harney County,OR,100.00,0.00,100.00,100.00,0.00,0.50
Harris County,TX,93.75,11.76,88.24,70.00,44.29,19.50
Harrison County,IN,100.00,0.00,100.00,100.00,0.00,0.60
Harrison County,MS,88.89,27.27,100.00,44.44,40.00,24.00
Harrison County,TX,100.00,0.00,100.00,0.00,100.00,22.50
Harrison County,WV,100.00,0.00,75.00,75.00,25.00,1.70
Harrisonburg County,VA,100.00,0.00,50.00,50.00,0.00,8.40
Hart County,KY,100.00,0.00,100.00,100.00,0.00,4.80
Hartford County,CT,71.43,37.50,75.00,57.14,25.00,15.20
Harvey County,KS,100.00,33.33,66.67,100.00,66.67,1.90
Hawaii County,HI,100.00,28.57,100.00,60.00,0.00,0.90
Hawkins County,TN,100.00,0.00,100.00,100.00,50.00,1.50
Hays County,TX,100.00,0.00,100.00,50.00,0.00,4.10
Haywood County,NC,100.00,0.00,100.00,100.00,0.00,1.20
Heard County,GA,100.00,0.00,100.00,100.00,0.00,10.70
Henderson County,NC,100.00,0.00,100.00,100.00,25.00,3.40
Henderson County,TN,0.00,100.00,100.00,0.00,100.00,8.10
Henderson County,TX,100.00,0.00,100.00,100.00,0.00,6.70
Hendricks County,IN,100.00,0.00,100.00,0.00,0.00,6.00
Hennepin County,MN,75.00,29.41,52.94,43.75,41.18,12.60
Henry County,AL,100.00,0.00,100.00,100.00,100.00,27.30
Henry County,GA,100.00,0.00,100.00,100.00,50.00,40.60
Henry County,IL,100.00,0.00,100.00,100.00,0.00,1.90
Henry County,IN,100.00,0.00,100.00,75.00,0.00,2.70
Henry County,MO,100.00,0.00,100.00,100.00,100.00,1.40
Henry County,VA,100.00,0.00,100.00,100.00,100.00,22.00
Hernando County,FL,100.00,33.33,100.00,75.00,0.00,5.70
Hertford County,NC,100.00,0.00,100.00,100.00,0.00,59.80
Hickman County,TN,100.00,0.00,100.00,0.00,0.00,5.10
Hidalgo County,TX,100.00,18.18,100.00,66.67,0.00,0.90
Highlands County,FL,100.00,0.00,100.00,33.33,0.00,10.60
Hillsborough County,FL,85.71,18.18,90.91,38.10,31.82,17.50
Hillsborough County,NH,100.00,0.00,100.00,25.00,0.00,2.60
Hinds County,MS,100.00,14.29,100.00,50.00,83.33,70.80
Hockley County,TX,100.00,0.00,100.00,0.00,0.00,4.40
Holmes County,FL,100.00,50.00,50.00,0.00,0.00,6.80
Honolulu County,HI,86.67,27.78,88.89,26.67,0.00,3.10
Hopewell County,VA,100.00,0.00,50.00,50.00,50.00,39.40
Hopkins County,KY,100.00,0.00,100.00,100.00,0.00,6.70
Hopkins County,TX,100.00,0.00,100.00,0.00,0.00,7.50
Horry County,SC,100.00,11.11,77.78,100.00,12.50,13.70
Houston County,GA,100.00,0.00,100.00,50.00,0.00,30.30
Howard County,IN,100.00,0.00,100.00,50.00,0.00,7.30
Howard County,MD,66.67,33.33,100.00,0.00,33.33,18.60
Hudson County,NJ,100.00,0.00,100.00,75.00,50.00,15.10
Hudspeth County,TX,100.00,0.00,100.00,0.00,100.00,1.80
Hughes County,OK,0.00,100.00,100.00,0.00,0.00,5.80
Humboldt County,CA,100.00,0.00,75.00,100.00,25.00,1.40
Humboldt County,IA,100.00,0.00,100.00,100.00,0.00,0.70
Humphreys County,TN,100.00,0.00,100.00,100.00,0.00,2.70
Hunt County,TX,50.00,50.00,50.00,0.00,100.00,8.40
Huntingdon County,PA,100.00,0.00,100.00,100.00,0.00,5.60
Huntington County,IN,100.00,0.00,100.00,50.00,0.00,0.60
Huron County,MI,100.00,0.00,100.00,100.00,0.00,0.50
Hutchinson County,TX,100.00,0.00,100.00,100.00,0.00,3.00
Iberia Parish County,LA,100.00,0.00,100.00,0.00,0.00,32.20
Iberville Parish County,LA,100.00,0.00,100.00,100.00,0.00,49.00
Imperial County,CA,100.00,0.00,100.00,0.00,0.00,3.50
Independence County,AR,100.00,0.00,100.00,100.00,0.00,2.30
Indian River County,FL,75.00,25.00,100.00,25.00,25.00,9.40
Ingham County,MI,100.00,0.00,50.00,100.00,50.00,12.20
Iowa County,IA,100.00,0.00,100.00,100.00,0.00,0.70
Iredell County,NC,100.00,0.00,100.00,50.00,0.00,12.20
Iron County,UT,100.00,0.00,100.00,100.00,0.00,0.70
Isanti County,MN,100.00,0.00,100.00,100.00,0.00,0.80
Island County,WA,100.00,0.00,100.00,100.00,0.00,2.90
Itasca County,MN,100.00,0.00,100.00,100.00,0.00,0.40
Jackson County,AL,100.00,0.00,100.00,0.00,0.00,3.60
Jackson County,FL,100.00,0.00,100.00,50.00,0.00,27.00
Jackson County,GA,0.00,100.00,100.00,0.00,0.00,7.20
Jackson County,IN,100.00,0.00,100.00,100.00,0.00,1.00
Jackson County,KY,100.00,0.00,100.00,0.00,0.00,0.30
Jackson County,MI,100.00,0.00,100.00,100.00,50.00,8.30
Jackson County,MO,94.87,9.76,100.00,76.92,48.65,24.00
Jackson County,MS,80.00,20.00,80.00,40.00,40.00,22.10
Jackson County,OH,100.00,0.00,100.00,0.00,0.00,0.70
Jackson County,OR,100.00,0.00,83.33,83.33,0.00,0.80
Jackson County,WI,100.00,0.00,0.00,100.00,0.00,2.20
Jasper County,GA,100.00,0.00,100.00,100.00,0.00,21.50
Jasper County,MO,66.67,33.33,100.00,33.33,0.00,2.40
Jasper County,SC,100.00,0.00,100.00,100.00,50.00,44.10
Jay County,IN,100.00,0.00,0.00,0.00,0.00,0.40
Jefferson Parish County,LA,100.00,8.33,91.67,72.73,90.00,27.20
Jefferson County,AL,100.00,10.53,100.00,94.12,44.44,42.90
Jefferson County,AR,100.00,0.00,66.67,100.00,100.00,55.50
Jefferson County,CO,100.00,0.00,100.00,72.22,0.00,1.30
Jefferson County,ID,100.00,0.00,100.00,100.00,0.00,0.40
Jefferson County,IN,0.00,100.00,100.00,0.00,0.00,2.00
Jefferson County,KY,95.83,4.17,54.17,50.00,41.67,21.50
Jefferson County,MS,100.00,0.00,100.00,0.00,100.00,85.10
Jefferson County,OH,100.00,0.00,100.00,100.00,100.00,5.50
Jefferson County,TX,100.00,0.00,100.00,55.56,42.86,34.30
Jefferson County,WI,100.00,0.00,100.00,100.00,50.00,1.00
Jefferson County,WV,100.00,0.00,100.00,100.00,0.00,6.80
Jersey County,IL,100.00,0.00,100.00,100.00,0.00,0.70
Jessamine County,KY,100.00,0.00,100.00,50.00,0.00,3.50
Jim Wells County,TX,100.00,0.00,100.00,0.00,0.00,1.00
Jo Daviess County,IL,100.00,0.00,100.00,100.00,0.00,0.60
Johnson County,AR,100.00,0.00,100.00,0.00,0.00,2.10
Johnson County,IN,100.00,0.00,0.00,0.00,0.00,1.90
Johnson County,KS,100.00,16.67,100.00,80.00,16.67,5.00
Johnson County,KY,100.00,0.00,100.00,100.00,0.00,0.50
Johnson County,MO,100.00,0.00,100.00,100.00,0.00,4.90
Johnston County,OK,100.00,0.00,100.00,0.00,0.00,2.10
Jones County,NC,100.00,0.00,100.00,100.00,0.00,31.10
Josephine County,OR,83.33,16.67,100.00,66.67,0.00,0.60
Kalamazoo County,MI,66.67,33.33,100.00,66.67,0.00,11.40
Kanabec County,MN,0.00,100.00,100.00,0.00,0.00,0.60
Kanawha County,WV,88.89,20.00,100.00,77.78,11.11,7.60
Kane County,IL,100.00,0.00,80.00,80.00,50.00,6.10
Kaufman County,TX,100.00,33.33,66.67,50.00,0.00,10.70
Kay County,OK,100.00,0.00,100.00,50.00,0.00,2.30
Kendall County,TX,66.67,33.33,100.00,66.67,33.33,1.10
Kennebec County,ME,66.67,50.00,100.00,33.33,0.00,0.70
Kenosha County,WI,100.00,0.00,100.00,100.00,0.00,7.30
Kent County,DE,100.00,0.00,66.67,66.67,0.00,25.20
Kent County,MD,100.00,0.00,0.00,100.00,100.00,15.10
Kent County,MI,100.00,0.00,60.00,80.00,60.00,10.40
Kenton County,KY,100.00,0.00,66.67,66.67,0.00,4.90
Kern County,CA,84.62,21.43,90.48,46.15,13.51,6.30
Kerr County,TX,100.00,0.00,100.00,33.33,0.00,2.00
King George County,VA,100.00,0.00,100.00,50.00,0.00,17.30
King County,WA,91.11,14.58,81.25,48.89,33.33,6.70
Kings County,CA,100.00,0.00,100.00,42.86,16.67,7.30
Kings County,NY,100.00,0.00,83.33,50.00,83.33,35.20
Kiowa County,CO,0.00,100.00,100.00,0.00,0.00,0.70
Kitsap County,WA,75.00,25.00,100.00,50.00,0.00,2.90
Kittitas County,WA,100.00,0.00,100.00,100.00,0.00,1.20
Klamath County,OR,100.00,0.00,100.00,100.00,0.00,0.90
Knott County,KY,100.00,66.67,100.00,100.00,0.00,0.90
Knox County,IN,0.00,100.00,100.00,0.00,0.00,3.10
Knox County,KY,100.00,20.00,100.00,100.00,0.00,1.30
Knox County,TN,80.00,42.86,100.00,40.00,28.57,9.00
Knox County,TX,100.00,0.00,100.00,100.00,0.00,6.10
Kootenai County,ID,100.00,0.00,100.00,50.00,0.00,0.40
La Crosse County,WI,100.00,0.00,100.00,100.00,0.00,1.50
La Paz County,AZ,80.00,20.00,100.00,60.00,0.00,1.20
La Plata County,CO,100.00,0.00,100.00,100.00,0.00,0.60
Labette County,KS,100.00,0.00,100.00,100.00,0.00,4.60
Lackawanna County,PA,100.00,0.00,100.00,100.00,0.00,3.30
Laclede County,MO,100.00,0.00,100.00,100.00,0.00,0.90
Lafayette Parish County,LA,100.00,0.00,100.00,50.00,50.00,26.10
Lafayette County,MO,100.00,0.00,100.00,100.00,0.00,2.40
Lafayette County,MS,100.00,0.00,66.67,66.67,0.00,23.70
Lafourche Parish County,LA,0.00,100.00,100.00,0.00,0.00,13.70
Lake County,CA,100.00,0.00,75.00,50.00,0.00,2.10
Lake County,FL,100.00,0.00,100.00,55.56,11.11,10.60
Lake County,IL,88.89,11.11,77.78,55.56,44.44,7.50
Lake County,IN,100.00,0.00,100.00,90.91,90.00,25.30
Lake County,OH,0.00,100.00,100.00,0.00,0.00,3.90
Lamar County,MS,100.00,0.00,100.00,100.00,0.00,20.60
Lamar County,TX,75.00,25.00,100.00,50.00,0.00,13.50
Lamb County,TX,100.00,0.00,100.00,0.00,0.00,5.10
Lancaster County,NE,100.00,0.00,66.67,83.33,16.67,3.90
Lancaster County,PA,100.00,0.00,75.00,75.00,25.00,4.80
Lancaster County,SC,100.00,0.00,100.00,100.00,0.00,22.70
Lane County,OR,91.67,8.33,91.67,58.33,0.00,1.10
Langlade County,WI,100.00,0.00,100.00,100.00,0.00,0.70
Laramie County,WY,100.00,0.00,100.00,100.00,0.00,3.40
Larimer County,CO,88.89,11.11,77.78,33.33,0.00,1.10
Las Animas County,CO,75.00,25.00,75.00,50.00,50.00,1.80
Latimer County,OK,100.00,0.00,100.00,0.00,0.00,1.20
Lauderdale County,AL,100.00,0.00,100.00,100.00,0.00,10.40
Lauderdale County,MS,100.00,0.00,75.00,50.00,0.00,42.90
Laurel County,KY,66.67,33.33,100.00,66.67,0.00,0.80
Lawrence County,AL,100.00,0.00,0.00,0.00,0.00,11.40
Lawrence County,IN,100.00,0.00,100.00,100.00,0.00,0.50
Lawrence County,MO,100.00,0.00,100.00,0.00,0.00,0.50
Lawrence County,PA,100.00,0.00,100.00,50.00,0.00,4.10
Lawrence County,SD,100.00,0.00,100.00,100.00,0.00,1.00
Lawrence County,TN,100.00,0.00,100.00,0.00,0.00,1.80
Le Flore County,OK,100.00,0.00,100.00,50.00,0.00,2.30
Lea County,NM,100.00,0.00,100.00,100.00,0.00,4.40
Leavenworth County,KS,100.00,0.00,100.00,0.00,100.00,9.60
Lebanon County,PA,100.00,0.00,100.00,50.00,0.00,3.30
Lee County,AL,0.00,100.00,100.00,0.00,100.00,23.70
Lee County,FL,100.00,0.00,87.50,100.00,28.57,9.10
Lee County,GA,100.00,0.00,100.00,0.00,0.00,20.70
Lee County,IA,100.00,0.00,100.00,100.00,50.00,3.10
Lee County,MS,50.00,50.00,100.00,50.00,100.00,28.70
Lee County,NC,100.00,0.00,50.00,50.00,0.00,20.10
Lee County,TX,100.00,0.00,100.00,0.00,100.00,11.30
Lehigh County,PA,100.00,0.00,100.00,75.00,0.00,8.40
Lenoir County,NC,100.00,0.00,100.00,100.00,100.00,41.00
Leon County,FL,75.00,25.00,87.50,62.50,57.14,31.60
Leon County,TX,0.00,100.00,100.00,0.00,0.00,7.50
Lewis and Clark County,MT,100.00,0.00,100.00,100.00,0.00,0.50
Lewis County,TN,100.00,0.00,100.00,100.00,0.00,2.20
Lewis County,WA,100.00,0.00,100.00,0.00,0.00,0.80
Lexington County,SC,87.50,22.22,100.00,62.50,11.11,15.20
Lexington County,VA,100.00,0.00,100.00,100.00,0.00,9.60
Limestone County,AL,100.00,0.00,100.00,100.00,0.00,13.50
Lincoln Parish County,LA,100.00,0.00,100.00,100.00,0.00,41.60
Lincoln County,ME,100.00,0.00,100.00,50.00,0.00,0.50
Lincoln County,MS,100.00,0.00,100.00,50.00,0.00,31.00
Lincoln County,NC,100.00,0.00,100.00,100.00,0.00,5.80
Lincoln County,NM,100.00,0.00,100.00,75.00,0.00,1.00
Lincoln County,OK,100.00,0.00,100.00,100.00,0.00,1.90
Lincoln County,WI,100.00,0.00,100.00,100.00,0.00,1.40
Linn County,IA,100.00,33.33,100.00,50.00,66.67,4.50
Litchfield County,CT,100.00,0.00,100.00,50.00,0.00,1.80
Livingston Parish County,LA,100.00,0.00,100.00,100.00,0.00,6.30
Livingston County,MO,100.00,0.00,100.00,0.00,0.00,3.20
Livingston County,NY,100.00,0.00,100.00,0.00,0.00,3.00
Llano County,TX,100.00,0.00,100.00,50.00,0.00,1.30
Logan County,CO,100.00,50.00,100.00,0.00,0.00,4.30
Logan County,IL,100.00,0.00,0.00,100.00,100.00,8.10
Logan County,KY,100.00,0.00,100.00,50.00,0.00,6.70
Logan County,OK,100.00,0.00,100.00,66.67,0.00,9.00
Long County,GA,100.00,0.00,100.00,100.00,100.00,25.60
Lonoke County,AR,100.00,0.00,100.00,100.00,0.00,6.20
Lorain County,OH,100.00,0.00,100.00,100.00,100.00,8.90
Los Angeles County,CA,92.86,14.75,86.07,47.32,24.24,9.20
Loudon County,TN,75.00,25.00,75.00,25.00,0.00,1.60
Loudoun County,VA,100.00,0.00,100.00,0.00,0.00,7.80
Lowndes County,GA,100.00,25.00,75.00,33.33,25.00,36.60
Lowndes County,MS,100.00,25.00,50.00,66.67,50.00,44.00
Lubbock County,TX,100.00,25.00,75.00,33.33,33.33,7.80
Lucas County,OH,88.89,20.00,80.00,44.44,44.44,19.70
Lumpkin County,GA,100.00,0.00,100.00,0.00,0.00,1.90
Luna County,NM,100.00,0.00,100.00,100.00,0.00,1.70
Luzerne County,PA,100.00,0.00,100.00,33.33,0.00,4.90
Lycoming County,PA,100.00,0.00,100.00,100.00,0.00,4.70
Lynchburg County,VA,100.00,0.00,100.00,0.00,0.00,28.50
Lynn County,TX,0.00,100.00,100.00,0.00,0.00,2.50
Lyon County,NV,100.00,50.00,100.00,100.00,0.00,1.30
Mackinac County,MI,100.00,0.00,100.00,100.00,0.00,1.60
Macomb County,MI,100.00,0.00,100.00,80.00,50.00,11.00
Macon County,AL,100.00,0.00,0.00,0.00,0.00,81.50
Macon County,NC,100.00,0.00,100.00,100.00,0.00,1.80
Macoupin County,IL,100.00,0.00,100.00,50.00,0.00,1.10
Madera County,CA,100.00,20.00,80.00,0.00,0.00,4.30
Madison County,AL,100.00,8.33,58.33,72.73,33.33,24.60
Madison County,ID,100.00,50.00,100.00,100.00,0.00,0.70
Madison County,IL,100.00,0.00,100.00,50.00,0.00,8.30
Madison County,IN,100.00,0.00,100.00,100.00,0.00,8.50
Madison County,KY,100.00,50.00,100.00,100.00,0.00,4.70
Madison County,MS,0.00,100.00,100.00,0.00,0.00,38.30
Madison County,TN,100.00,0.00,100.00,0.00,0.00,37.30
Magoffin County,KY,100.00,0.00,100.00,100.00,0.00,0.30
Mahoning County,OH,100.00,0.00,100.00,100.00,0.00,15.90
Malheur County,OR,100.00,0.00,100.00,50.00,0.00,1.50
Manatee County,FL,83.33,16.67,100.00,50.00,60.00,9.30
Manistee County,MI,100.00,0.00,100.00,100.00,0.00,3.30
Manitowoc County,WI,100.00,0.00,100.00,50.00,0.00,0.80
Marathon County,WI,100.00,0.00,100.00,75.00,0.00,0.80
Marengo County,AL,100.00,0.00,100.00,100.00,0.00,51.00
Maricopa County,AZ,93.04,15.03,84.97,63.92,12.34,5.70
Marin County,CA,100.00,0.00,100.00,0.00,0.00,2.90
Marinette County,WI,100.00,0.00,100.00,100.00,0.00,0.50
Marion County,AL,100.00,0.00,100.00,0.00,0.00,4.20
Marion County,AR,100.00,0.00,100.00,100.00,0.00,0.40
Marion County,FL,80.00,20.00,80.00,60.00,0.00,13.20
Marion County,IN,85.00,19.05,85.71,75.00,70.00,27.80
Marion County,KS,100.00,0.00,100.00,100.00,0.00,1.20
Marion County,OR,100.00,22.22,88.89,85.71,0.00,1.40
Marion County,TN,100.00,0.00,100.00,100.00,0.00,4.10
Marion County,WV,0.00,100.00,100.00,0.00,0.00,3.50
Marshall County,AL,100.00,0.00,50.00,100.00,0.00,2.70
Marshall County,TN,100.00,0.00,100.00,100.00,0.00,6.90
Martin County,FL,100.00,0.00,100.00,50.00,50.00,5.70
Martin County,KY,100.00,0.00,100.00,100.00,0.00,7.20
Martin County,MN,100.00,0.00,100.00,0.00,0.00,0.60
Martinsville County,VA,100.00,0.00,0.00,100.00,100.00,45.10
Mason County,WA,100.00,0.00,100.00,66.67,0.00,1.40
Massac County,IL,100.00,0.00,100.00,100.00,0.00,5.80
Matagorda County,TX,100.00,0.00,100.00,100.00,100.00,11.50
Maui County,HI,100.00,0.00,0.00,100.00,0.00,0.90
Maury County,TN,100.00,33.33,100.00,50.00,0.00,12.00
Mayes County,OK,100.00,0.00,100.00,100.00,0.00,0.60
McClain County,OK,100.00,0.00,100.00,100.00,0.00,0.90
McCracken County,KY,100.00,0.00,100.00,100.00,0.00,10.90
McCurtain County,OK,100.00,0.00,100.00,66.67,50.00,8.70
McDowell County,NC,100.00,0.00,100.00,100.00,0.00,4.10
McDowell County,WV,100.00,0.00,100.00,0.00,0.00,9.00
McHenry County,IL,100.00,0.00,100.00,100.00,0.00,1.40
McIntosh County,GA,100.00,0.00,100.00,0.00,0.00,34.90
McIntosh County,OK,100.00,0.00,100.00,100.00,100.00,3.20
McKinley County,NM,100.00,50.00,100.00,0.00,0.00,1.00
McLennan County,TX,100.00,16.67,100.00,40.00,40.00,15.10
McLeod County,MN,100.00,0.00,100.00,100.00,0.00,0.70
McMinn County,TN,100.00,0.00,100.00,100.00,0.00,4.10
McNairy County,TN,0.00,100.00,100.00,0.00,100.00,6.00
McPherson County,KS,0.00,100.00,100.00,0.00,0.00,1.20
Mecklenburg County,NC,94.74,5.26,68.42,78.95,52.63,32.20
Mecklenburg County,VA,100.00,0.00,100.00,100.00,0.00,34.90
Medina County,OH,66.67,33.33,100.00,0.00,0.00,1.40
Mendocino County,CA,100.00,0.00,100.00,100.00,0.00,1.00
Merced County,CA,100.00,0.00,88.89,22.22,0.00,4.20
Mercer County,NJ,100.00,20.00,100.00,25.00,50.00,21.20
Mercer County,OH,100.00,0.00,100.00,100.00,0.00,0.40
Mercer County,PA,100.00,0.00,100.00,0.00,0.00,5.90
Mercer County,WV,100.00,0.00,75.00,0.00,25.00,6.30
Meriwether County,GA,100.00,0.00,100.00,100.00,0.00,39.40
Mesa County,CO,100.00,12.50,100.00,71.43,0.00,1.00
Metcalfe County,KY,100.00,0.00,100.00,100.00,0.00,1.90
Miami-Dade County,FL,93.88,11.54,98.08,59.18,50.00,18.90
Middlesex County,CT,100.00,0.00,100.00,100.00,0.00,5.40
Middlesex County,MA,85.71,14.29,100.00,0.00,0.00,5.50
Middlesex County,NJ,100.00,0.00,100.00,66.67,33.33,11.20
Midland County,MI,100.00,0.00,100.00,100.00,0.00,1.40
Midland County,TX,100.00,0.00,100.00,50.00,0.00,6.80
Mifflin County,PA,100.00,0.00,100.00,100.00,0.00,0.80
Mille Lacs County,MN,100.00,0.00,100.00,100.00,0.00,0.50
Milwaukee County,WI,100.00,4.55,68.18,76.19,61.90,27.20
Mineral County,MT,0.00,100.00,100.00,0.00,0.00,0.50
Mineral County,WV,100.00,0.00,100.00,100.00,0.00,3.10
Minnehaha County,SD,100.00,0.00,100.00,100.00,0.00,4.60
Mississippi County,AR,50.00,50.00,75.00,25.00,50.00,34.90
Missoula County,MT,100.00,0.00,100.00,50.00,0.00,0.60
Mitchell County,NC,100.00,0.00,100.00,0.00,0.00,0.70
Mobile County,AL,91.67,8.33,91.67,66.67,27.27,35.30
Moffat County,CO,100.00,0.00,100.00,100.00,0.00,0.50
Mohave County,AZ,100.00,7.69,76.92,75.00,0.00,1.30
Monmouth County,NJ,100.00,0.00,100.00,0.00,25.00,7.70
