County,State,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,PercentageShootingsOnBlack,PercentageDemogIsBlack
Boone County,IA,100.00,0.00,100.00,0.00,0.00,1.20
Boone County,KY,100.00,0.00,100.00,0.00,0.00,3.20
Boone County,MO,100.00,0.00,66.67,66.67,66.67,9.60
Bossier Parish County,LA,100.00,40.00,80.00,0.00,20.00,21.70
Botetourt County,VA,100.00,0.00,100.00,100.00,0.00,3.50
Boulder County,CO,100.00,16.67,83.33,60.00,0.00,1.10
Bourbon County,KY,100.00,0.00,100.00,100.00,0.00,6.30
Bowie County,TX,100.00,0.00,100.00,100.00,0.00,24.70
Bradford County,FL,100.00,0.00,100.00,100.00,50.00,19.10
Bradley County,AR,100.00,0.00,100.00,100.00,100.00,27.60
Bradley County,TN,100.00,0.00,100.00,0.00,0.00,4.80
Braxton County,WV,100.00,0.00,100.00,50.00,0.00,0.60
Brazoria County,TX,100.00,0.00,100.00,100.00,10.00,13.50
Brazos County,TX,100.00,0.00,100.00,100.00,0.00,11.40
Brevard County,FL,100.00,21.05,94.74,73.33,35.29,10.70
Brewster County,TX,0.00,100.00,100.00,0.00,0.00,1.40
Bristol County,MA,100.00,50.00,100.00,0.00,50.00,4.70
Bristol County,VA,100.00,0.00,100.00,50.00,0.00,5.90
Bronx County,NY,100.00,0.00,75.00,25.00,75.00,43.50
Brooke County,WV,100.00,0.00,100.00,0.00,0.00,1.60
Broome County,NY,100.00,0.00,100.00,100.00,0.00,5.70
Broomfield County,CO,100.00,0.00,100.00,100.00,0.00,1.40
Broward County,FL,76.00,29.63,92.59,56.00,64.00,28.90
Brown County,WI,100.00,0.00,100.00,66.67,0.00,2.50
Brunswick County,NC,100.00,0.00,100.00,50.00,50.00,11.20
Bryan County,OK,0.00,100.00,100.00,0.00,0.00,1.90
Buchanan County,MO,66.67,33.33,100.00,66.67,0.00,6.00
Buchanan County,VA,100.00,0.00,100.00,100.00,0.00,2.80
Buckingham County,VA,0.00,100.00,100.00,0.00,100.00,34.60
Bullitt County,KY,100.00,0.00,100.00,50.00,0.00,1.10
Bulloch County,GA,100.00,0.00,100.00,100.00,0.00,29.10
Buncombe County,NC,100.00,0.00,100.00,100.00,50.00,6.50
Burke County,NC,100.00,0.00,100.00,0.00,0.00,6.80
Burleigh County,ND,50.00,50.00,100.00,50.00,0.00,1.20
Burlington County,NJ,100.00,0.00,100.00,0.00,0.00,17.50
Burnet County,TX,100.00,0.00,0.00,0.00,0.00,2.40
Butler County,KS,100.00,0.00,0.00,100.00,0.00,1.90
Butler County,MO,100.00,0.00,100.00,100.00,0.00,5.50
Butler County,OH,100.00,0.00,100.00,40.00,40.00,8.10
Butte County,CA,90.00,10.00,70.00,40.00,11.11,1.80
Butts County,GA,100.00,0.00,100.00,50.00,0.00,27.70
Cabarrus County,NC,100.00,0.00,100.00,100.00,100.00,17.10
Cabell County,WV,100.00,0.00,100.00,100.00,0.00,5.10
Cache County,UT,100.00,0.00,100.00,100.00,0.00,0.80
Caddo Parish County,LA,91.67,8.33,100.00,58.33,66.67,48.20
Caddo County,OK,100.00,0.00,100.00,50.00,0.00,3.00
Calaveras County,CA,100.00,0.00,100.00,0.00,0.00,1.00
Calcasieu Parish County,LA,100.00,0.00,100.00,66.67,66.67,25.30
Caldwell County,KY,100.00,0.00,100.00,100.00,100.00,5.50
Caldwell County,NC,100.00,0.00,57.14,100.00,16.67,5.10
Caldwell County,TX,100.00,0.00,100.00,0.00,0.00,7.00
Calhoun County,AL,100.00,12.50,87.50,85.71,14.29,21.10
Calhoun County,GA,0.00,100.00,100.00,0.00,0.00,61.20
Calhoun County,MI,100.00,0.00,100.00,50.00,0.00,11.10
Callaway County,MO,100.00,0.00,100.00,0.00,0.00,4.70
Calloway County,KY,0.00,100.00,100.00,0.00,0.00,4.10
Cambria County,PA,100.00,0.00,100.00,0.00,0.00,3.50
Camden County,GA,50.00,50.00,50.00,0.00,100.00,19.50
Camden County,NJ,100.00,0.00,100.00,75.00,33.33,21.10
Cameron County,TX,100.00,0.00,100.00,33.33,0.00,0.90
Campbell County,WY,100.00,0.00,100.00,50.00,0.00,0.90
Canadian County,OK,100.00,0.00,100.00,50.00,0.00,2.90
Canyon County,ID,100.00,0.00,85.71,57.14,0.00,0.80
Cape Girardeau County,MO,100.00,50.00,100.00,0.00,0.00,7.70
Carbon County,PA,100.00,0.00,100.00,0.00,0.00,1.90
Carbon County,UT,100.00,0.00,0.00,0.00,100.00,0.80
Carbon County,WY,0.00,100.00,100.00,0.00,0.00,1.50
Caroline County,VA,50.00,50.00,100.00,50.00,0.00,28.20
Carroll County,GA,100.00,0.00,100.00,25.00,25.00,19.10
Carroll County,MD,100.00,0.00,100.00,0.00,0.00,3.60
Carroll County,TN,100.00,0.00,100.00,100.00,0.00,10.30
Carson City County,NV,100.00,0.00,100.00,75.00,0.00,2.20
Carson County,TX,100.00,0.00,100.00,100.00,0.00,0.90
Carter County,KY,0.00,100.00,100.00,0.00,0.00,0.70
Carter County,OK,100.00,0.00,100.00,50.00,0.00,7.10
Carter County,TN,100.00,0.00,100.00,50.00,0.00,1.60
Carver County,MN,100.00,0.00,0.00,50.00,0.00,1.60
Cascade County,MT,100.00,0.00,100.00,60.00,0.00,1.70
Cass County,IN,100.00,0.00,100.00,0.00,100.00,2.00
Cass County,MN,100.00,0.00,100.00,100.00,0.00,0.40
Cass County,MO,100.00,0.00,100.00,25.00,0.00,4.00
Cass County,ND,0.00,100.00,100.00,0.00,0.00,3.70
Cass County,NE,0.00,100.00,100.00,0.00,0.00,0.50
Cass County,TX,100.00,0.00,100.00,100.00,0.00,17.10
Catawba County,NC,100.00,25.00,75.00,66.67,25.00,8.90
Catoosa County,GA,100.00,0.00,100.00,100.00,0.00,2.80
Cecil County,MD,100.00,33.33,100.00,25.00,16.67,6.80
Centre County,PA,100.00,0.00,100.00,0.00,100.00,3.80
Chambers County,TX,100.00,0.00,100.00,100.00,0.00,9.00
Champaign County,IL,100.00,0.00,0.00,0.00,100.00,12.80
Charles County,MD,100.00,0.00,100.00,100.00,0.00,43.80
Charleston County,SC,87.50,12.50,87.50,62.50,50.00,28.60
Charlevoix County,MI,100.00,0.00,100.00,100.00,0.00,0.50
Charlotte County,FL,100.00,0.00,100.00,100.00,0.00,6.20
Charlottesville County,VA,100.00,0.00,100.00,100.00,100.00,19.20
Chatham County,GA,87.50,12.50,62.50,50.00,75.00,40.10
Chautauqua County,NY,100.00,0.00,100.00,0.00,0.00,2.70
Chaves County,NM,100.00,0.00,66.67,100.00,0.00,2.50
Cheatham County,TN,100.00,0.00,100.00,50.00,0.00,1.90
Chelan County,WA,100.00,0.00,100.00,0.00,0.00,0.80
Chemung County,NY,100.00,0.00,100.00,100.00,0.00,6.80
Cherokee County,GA,100.00,0.00,100.00,100.00,0.00,6.60
Cherokee County,OK,100.00,0.00,50.00,66.67,16.67,1.50
Cherokee County,SC,100.00,0.00,100.00,100.00,0.00,20.70
Cherokee County,TX,0.00,100.00,100.00,0.00,0.00,15.00
Chesapeake County,VA,100.00,0.00,50.00,100.00,100.00,30.10
Chester County,PA,100.00,0.00,100.00,0.00,100.00,6.40
Chester County,SC,100.00,0.00,0.00,100.00,50.00,37.00
Chesterfield County,SC,100.00,0.00,100.00,100.00,0.00,32.50
Chesterfield County,VA,100.00,0.00,100.00,100.00,0.00,23.30
Cheyenne County,NE,100.00,0.00,100.00,0.00,0.00,0.40
Chickasaw County,IA,100.00,0.00,100.00,100.00,100.00,0.60
Childress County,TX,100.00,0.00,100.00,100.00,0.00,10.10
Chilton County,AL,100.00,0.00,50.00,50.00,0.00,10.60
Chippewa County,WI,100.00,0.00,100.00,0.00,0.00,1.60
Chisago County,MN,100.00,0.00,100.00,100.00,0.00,1.30
Chittenden County,VT,66.67,33.33,0.00,33.33,0.00,2.40
Choctaw County,OK,100.00,0.00,100.00,100.00,0.00,11.20
Christian County,KY,100.00,0.00,100.00,0.00,0.00,21.10
Christian County,MO,100.00,0.00,100.00,100.00,0.00,0.80
Cibola County,NM,50.00,50.00,100.00,50.00,0.00,1.40
Citrus County,FL,100.00,20.00,100.00,75.00,0.00,3.10
Clackamas County,OR,90.00,10.00,100.00,70.00,12.50,1.00
Claiborne Parish County,LA,100.00,0.00,100.00,100.00,100.00,50.90
Claiborne County,TN,100.00,0.00,100.00,100.00,0.00,1.20
Clallam County,WA,100.00,0.00,100.00,100.00,0.00,1.00
Clark County,IN,100.00,0.00,66.67,100.00,33.33,7.40
Clark County,KS,100.00,0.00,100.00,100.00,0.00,0.70
Clark County,NV,94.20,7.14,52.86,60.87,21.88,11.60
Clark County,OH,100.00,0.00,100.00,50.00,0.00,9.00
Clark County,WA,91.67,15.38,100.00,41.67,18.18,2.20
Clark County,WI,100.00,0.00,100.00,100.00,0.00,0.50
Clarke County,GA,85.71,14.29,0.00,28.57,0.00,27.70
Clatsop County,OR,100.00,0.00,33.33,100.00,0.00,0.90
Clay County,AR,100.00,0.00,100.00,100.00,0.00,0.60
Clay County,FL,100.00,0.00,100.00,100.00,25.00,10.90
Clay County,IN,100.00,0.00,100.00,100.00,0.00,0.60
Clay County,MO,100.00,0.00,100.00,100.00,0.00,6.00
Clayton County,GA,100.00,0.00,100.00,100.00,66.67,68.30
Clear Creek County,CO,100.00,0.00,100.00,100.00,0.00,0.90
Clearfield County,PA,100.00,0.00,100.00,100.00,0.00,3.00
Clearwater County,ID,100.00,0.00,100.00,100.00,0.00,0.50
Cleburne County,AL,100.00,0.00,100.00,100.00,0.00,3.60
Cleveland County,NC,100.00,0.00,100.00,66.67,0.00,20.90
Cleveland County,OK,100.00,50.00,100.00,100.00,0.00,4.90
Clinton County,IA,100.00,0.00,0.00,0.00,0.00,3.20
Coahoma County,MS,100.00,0.00,100.00,100.00,100.00,74.90
Coal County,OK,100.00,0.00,100.00,100.00,0.00,0.70
Cobb County,GA,90.00,40.00,93.33,80.00,58.33,27.30
Cochise County,AZ,100.00,0.00,100.00,33.33,0.00,4.70
Cochran County,TX,100.00,0.00,100.00,100.00,0.00,5.10
Cocke County,TN,100.00,0.00,100.00,33.33,0.00,2.00
Coconino County,AZ,81.82,25.00,50.00,63.64,0.00,1.60
Coffee County,GA,100.00,0.00,100.00,100.00,0.00,28.00
Coffee County,TN,100.00,0.00,100.00,100.00,0.00,3.80
Colbert County,AL,100.00,0.00,100.00,100.00,33.33,16.30
Cole County,MO,100.00,0.00,100.00,33.33,0.00,11.80
Colfax County,NM,100.00,0.00,100.00,0.00,0.00,0.90
Colleton County,SC,100.00,0.00,100.00,0.00,100.00,38.30
Collier County,FL,100.00,0.00,100.00,33.33,0.00,7.20
Collin County,TX,100.00,14.29,100.00,83.33,20.00,9.60
Colonial Heights County,VA,100.00,0.00,100.00,100.00,100.00,13.90
Colquitt County,GA,0.00,100.00,100.00,0.00,0.00,23.20
Columbia County,AR,100.00,0.00,100.00,0.00,100.00,36.20
Columbia County,GA,100.00,0.00,100.00,100.00,0.00,16.90
Columbia County,PA,100.00,0.00,100.00,0.00,0.00,2.10
Columbia County,WI,100.00,0.00,100.00,100.00,0.00,1.50
Comanche County,OK,100.00,0.00,100.00,85.71,42.86,17.80
Contra Costa County,CA,94.44,5.56,66.67,33.33,35.29,9.60
Converse County,WY,100.00,50.00,100.00,0.00,0.00,1.00
Cook County,GA,100.00,0.00,100.00,100.00,100.00,27.80
Cook County,IL,94.44,13.56,83.05,79.63,73.68,24.40
Cooke County,TX,100.00,0.00,100.00,100.00,0.00,3.20
Coos County,NH,100.00,0.00,100.00,100.00,0.00,0.70
Coos County,OR,100.00,0.00,100.00,100.00,0.00,0.60
Copiah County,MS,100.00,0.00,100.00,100.00,100.00,51.40
Corson County,SD,0.00,100.00,100.00,0.00,0.00,0.20
Covington County,AL,100.00,0.00,100.00,100.00,0.00,13.00
Coweta County,GA,100.00,0.00,0.00,100.00,100.00,18.00
Cowley County,KS,100.00,0.00,100.00,100.00,0.00,3.00
Cowlitz County,WA,100.00,0.00,100.00,71.43,16.67,0.90
Craig County,OK,0.00,100.00,100.00,0.00,100.00,3.30
Craighead County,AR,100.00,0.00,100.00,66.67,0.00,14.50
Craven County,NC,100.00,0.00,100.00,100.00,0.00,21.70
Crawford County,AR,100.00,0.00,100.00,50.00,0.00,1.60
Crawford County,IN,100.00,0.00,100.00,0.00,0.00,0.50
Crawford County,MO,100.00,0.00,100.00,100.00,0.00,0.50
Crawford County,OH,100.00,0.00,100.00,100.00,0.00,1.00
Creek County,OK,100.00,33.33,100.00,0.00,0.00,2.40
Crenshaw County,AL,0.00,100.00,100.00,0.00,0.00,24.00
Crittenden County,AR,100.00,20.00,100.00,25.00,80.00,51.80
Crockett County,TN,100.00,50.00,50.00,100.00,50.00,13.70
Cullman County,AL,100.00,0.00,100.00,100.00,0.00,1.40
Culpeper County,VA,100.00,0.00,100.00,100.00,66.67,15.80
Cumberland County,KY,100.00,33.33,100.00,50.00,0.00,2.80
Cumberland County,ME,100.00,0.00,100.00,33.33,33.33,2.90
Cumberland County,NC,100.00,0.00,88.89,55.56,62.50,37.60
Cumberland County,NJ,66.67,33.33,100.00,50.00,66.67,21.90
Cumberland County,TN,100.00,0.00,100.00,100.00,0.00,0.70
Curry County,NM,100.00,0.00,100.00,0.00,0.00,7.00
Custer County,NE,100.00,0.00,100.00,100.00,0.00,0.50
Cuyahoga County,OH,88.89,20.00,80.00,77.78,63.16,30.30
Dade County,MO,100.00,0.00,100.00,0.00,0.00,0.50
Dakota County,MN,100.00,0.00,33.33,83.33,0.00,5.70
Dakota County,NE,100.00,0.00,100.00,100.00,0.00,4.30
Dale County,AL,100.00,0.00,100.00,100.00,0.00,19.70
Dallam County,TX,100.00,0.00,100.00,100.00,0.00,2.00
Dallas County,AL,100.00,0.00,0.00,100.00,100.00,69.50
Dallas County,AR,100.00,0.00,100.00,100.00,0.00,41.30
Dallas County,MO,0.00,100.00,100.00,0.00,0.00,0.30
Dallas County,TX,89.74,16.67,90.48,71.79,35.14,23.10
Dane County,WI,66.67,33.33,100.00,33.33,33.33,5.40
Danville County,VA,50.00,50.00,50.00,50.00,100.00,49.40
Darlington County,SC,100.00,0.00,66.67,66.67,33.33,41.20
Dauphin County,PA,75.00,40.00,100.00,50.00,75.00,18.70
Davidson County,NC,80.00,20.00,100.00,40.00,20.00,9.40
Davidson County,TN,100.00,0.00,87.50,62.50,50.00,28.10
Davie County,NC,100.00,0.00,100.00,100.00,0.00,6.50
Daviess County,KY,100.00,0.00,100.00,75.00,25.00,5.00
Davis County,UT,100.00,12.50,75.00,71.43,0.00,1.40
Davison County,SD,100.00,0.00,100.00,100.00,0.00,1.00
De Baca County,NM,100.00,0.00,100.00,100.00,0.00,0.40
De Witt County,IL,100.00,0.00,100.00,0.00,0.00,0.80
DeKalb County,GA,100.00,9.09,100.00,100.00,44.44,54.80
DeKalb County,MO,100.00,0.00,100.00,100.00,0.00,11.60
DeKalb County,TN,100.00,0.00,100.00,100.00,0.00,2.10
DeSoto County,MS,100.00,0.00,100.00,100.00,40.00,24.90
Deaf Smith County,TX,100.00,0.00,100.00,100.00,0.00,2.00
Dearborn County,IN,100.00,0.00,100.00,0.00,0.00,0.70
Decatur County,GA,100.00,0.00,100.00,100.00,100.00,41.60
Decatur County,TN,100.00,0.00,0.00,100.00,0.00,3.00
Defiance County,OH,100.00,0.00,100.00,0.00,100.00,2.20
Del Norte County,CA,100.00,0.00,100.00,0.00,0.00,3.50
Delaware County,IN,100.00,20.00,40.00,25.00,0.00,7.10
Delaware County,OH,100.00,0.00,100.00,100.00,0.00,3.50
Delaware County,OK,100.00,0.00,75.00,75.00,0.00,0.50
Delaware County,PA,100.00,20.00,100.00,75.00,50.00,21.20
Denton County,TX,100.00,0.00,70.00,50.00,44.44,9.60
Denver County,CO,88.24,16.67,94.44,58.82,12.50,10.20
Des Moines County,IA,66.67,33.33,33.33,66.67,33.33,5.90
Deschutes County,OR,100.00,0.00,100.00,0.00,0.00,0.50
Deuel County,NE,100.00,0.00,100.00,100.00,0.00,0.30
Dewey County,OK,100.00,0.00,100.00,100.00,0.00,0.50
Dickson County,TN,0.00,100.00,100.00,0.00,0.00,4.40
Dillon County,SC,100.00,50.00,100.00,0.00,0.00,46.60
District of Columbia County,DC,87.50,12.50,75.00,50.00,87.50,49.00
Dixie County,FL,100.00,0.00,100.00,100.00,0.00,9.10
Dodge County,WI,100.00,0.00,100.00,100.00,0.00,3.10
Dorchester County,SC,100.00,0.00,100.00,100.00,100.00,25.90
Dougherty County,GA,100.00,0.00,100.00,0.00,100.00,68.40
Douglas County,CO,100.00,0.00,33.33,100.00,0.00,1.40
Douglas County,GA,100.00,0.00,66.67,66.67,33.33,43.50
Douglas County,IL,100.00,0.00,100.00,100.00,0.00,0.60
Douglas County,KS,100.00,0.00,100.00,100.00,0.00,4.60
Douglas County,MN,100.00,0.00,50.00,50.00,0.00,0.50
Douglas County,NE,90.91,16.67,75.00,54.55,41.67,11.60
Douglas County,NV,100.00,0.00,100.00,100.00,0.00,0.90
Douglas County,OR,0.00,100.00,100.00,0.00,0.00,0.40
Douglas County,WA,0.00,100.00,100.00,0.00,0.00,0.80
Doña Ana County,NM,100.00,6.67,80.00,71.43,0.00,2.20
DuPage County,IL,100.00,0.00,100.00,0.00,50.00,5.20
Duchesne County,UT,100.00,0.00,0.00,100.00,0.00,0.60
Duplin County,NC,100.00,0.00,100.00,0.00,0.00,26.00
Durham County,NC,100.00,0.00,66.67,83.33,83.33,38.60
Dutchess County,NY,100.00,0.00,100.00,0.00,0.00,11.10
Duval County,FL,91.18,8.82,82.35,58.82,52.94,30.10
Dyer County,TN,100.00,0.00,100.00,100.00,0.00,14.60
Eagle County,CO,100.00,0.00,100.00,100.00,100.00,1.00
East Baton Rouge Parish County,LA,81.82,30.77,69.23,72.73,100.00,46.20
East Feliciana Parish County,LA,50.00,50.00,100.00,50.00,100.00,44.10
Eastland County,TX,100.00,0.00,100.00,100.00,0.00,2.50
Eaton County,MI,0.00,100.00,100.00,0.00,0.00,7.00
Eau Claire County,WI,83.33,16.67,100.00,16.67,0.00,1.00
Ector County,TX,100.00,9.09,100.00,90.00,0.00,4.90
Eddy County,NM,100.00,20.00,100.00,100.00,0.00,1.90
Edgecombe County,NC,100.00,0.00,100.00,50.00,50.00,57.70
Effingham County,GA,100.00,50.00,100.00,100.00,0.00,14.00
El Dorado County,CA,50.00,50.00,100.00,50.00,50.00,1.00
El Paso County,CO,100.00,0.00,85.00,75.00,15.00,7.00
El Paso County,TX,94.74,10.00,100.00,68.42,13.33,4.00
Elbert County,GA,0.00,100.00,100.00,0.00,0.00,29.40
Elkhart County,IN,100.00,0.00,100.00,100.00,66.67,6.20
Elko County,NV,100.00,0.00,66.67,66.67,0.00,1.50
Ellis County,KS,0.00,100.00,100.00,0.00,0.00,1.00
Ellis County,TX,100.00,0.00,100.00,100.00,33.33,9.70
Elmore County,AL,100.00,0.00,100.00,100.00,100.00,21.20
Elmore County,ID,100.00,0.00,100.00,33.33,0.00,3.20
Emery County,UT,100.00,0.00,100.00,100.00,0.00,0.50
Emporia County,VA,100.00,0.00,100.00,100.00,100.00,63.70
Erie County,NY,100.00,0.00,75.00,75.00,25.00,13.90
Erie County,PA,100.00,50.00,100.00,100.00,0.00,7.60
Escambia County,AL,100.00,0.00,100.00,100.00,100.00,32.40
Escambia County,FL,100.00,0.00,100.00,75.00,80.00,22.80
Essex County,MA,100.00,28.57,100.00,60.00,14.29,6.30
Essex County,NJ,100.00,25.00,91.67,66.67,100.00,41.90
Etowah County,AL,100.00,0.00,100.00,100.00,0.00,15.50
Evangeline Parish County,LA,50.00,50.00,100.00,50.00,50.00,28.40
Evans County,GA,100.00,0.00,100.00,0.00,100.00,31.20
Fairfax County,VA,50.00,50.00,100.00,0.00,0.00,9.90
Fairfield County,CT,100.00,20.00,80.00,0.00,20.00,12.20
Fairfield County,OH,100.00,0.00,0.00,0.00,0.00,7.10
Falls Church County,VA,100.00,0.00,100.00,0.00,0.00,5.30
Fayette County,GA,100.00,0.00,100.00,100.00,33.33,22.00
Fayette County,OH,100.00,0.00,100.00,100.00,50.00,2.50
Fayette County,PA,100.00,0.00,100.00,100.00,0.00,4.80
Fayette County,TN,100.00,0.00,100.00,33.33,33.33,27.50
Fayette County,WV,100.00,0.00,100.00,50.00,0.00,4.70
Fentress County,TN,100.00,0.00,100.00,0.00,0.00,0.40
Fergus County,MT,100.00,0.00,100.00,100.00,0.00,0.50
Fillmore County,MN,100.00,0.00,100.00,0.00,0.00,0.40
Finney County,KS,100.00,0.00,100.00,0.00,0.00,3.30
Flathead County,MT,100.00,0.00,100.00,66.67,0.00,0.40
Florence County,SC,100.00,0.00,100.00,100.00,75.00,42.20
Floyd County,GA,100.00,0.00,100.00,100.00,0.00,14.80
Floyd County,IN,100.00,0.00,100.00,100.00,0.00,5.50
Foard County,TX,0.00,100.00,100.00,0.00,0.00,5.30
Fond du Lac County,WI,100.00,0.00,100.00,100.00,0.00,1.60
Forest County,WI,50.00,50.00,100.00,50.00,0.00,1.00
Forrest County,MS,75.00,25.00,100.00,50.00,75.00,37.00
Forsyth County,GA,100.00,0.00,100.00,66.67,0.00,3.50
Forsyth County,NC,100.00,0.00,100.00,100.00,100.00,27.10
Fort Bend County,TX,100.00,0.00,100.00,80.00,60.00,21.10
