State,County,NativeAmerPerc
GA,Hall County,0.9
KS,Wichita County,0.9
LA,Rapides Parish,0.9
TX,Mills County,0.9
MI,Lake County,0.9
WA,San Juan County,0.9
WI,Iron County,0.9
GA,Murray County,0.9
NC,Pender County,0.9
VA,Winchester,0.9
CO,Kiowa County,0.9
WV,Gilmer County,0.9
RI,Washington County,0.9
ID,Gem County,0.9
ID,Bonner County,0.9
ND,Kidder County,0.9
MO,Ripley County,0.9
MN,Crow Wing County,0.9
TX,Llano County,0.9
MI,Ogemaw County,0.9
TX,Frio County,0.9
TX,San Jacinto County,0.9
CA,San Mateo County,0.9
TX,Bosque County,0.9
TX,Borden County,0.9
TX,Shelby County,0.9
OR,Wallowa County,0.9
MI,Kalkaska County,0.9
FL,Walton County,0.9
TX,Denton County,0.9
MT,Carter County,0.9
AL,Winston County,0.9
NE,Lincoln County,0.9
KS,Barton County,0.9
TX,Throckmorton County,0.9
NC,Brunswick County,0.9
ID,Latah County,0.9
CO,Mineral County,0.9
NC,Johnston County,0.9
KS,Ellsworth County,0.9
NC,Onslow County,0.9
NY,Onondaga County,0.9
IN,Miami County,0.9
NE,Garden County,0.9
MO,Dade County,0.9
TX,Parker County,0.9
WI,Milwaukee County,0.9
NC,Person County,0.9
VA,Essex County,0.9
NE,Lancaster County,0.9
NC,Nash County,0.9
KS,Franklin County,0.9
TX,Wilson County,0.9
WY,Park County,0.9
KS,Allen County,0.9
SC,York County,0.9
KS,Chase County,0.9
TX,Glasscock County,0.9
VA,Amherst County,0.9
CO,Phillips County,0.8
GA,Liberty County,0.8
PA,Berks County,0.8
NY,Orleans County,0.8
TX,Calhoun County,0.8
SD,Campbell County,0.8
MO,Cedar County,0.8
GA,Floyd County,0.8
TX,Sabine County,0.8
TX,Smith County,0.8
KS,Jewell County,0.8
MO,Ozark County,0.8
MA,Essex County,0.8
TN,Perry County,0.8
TX,Trinity County,0.8
GA,Decatur County,0.8
MN,Kanabec County,0.8
FL,Bay County,0.8
TX,Ellis County,0.8
AR,Perry County,0.8
AR,Ashley County,0.8
MO,Howell County,0.8
MD,Charles County,0.8
VA,Alexandria,0.8
AR,Stone County,0.8
MI,Iosco County,0.8
TX,Jackson County,0.8
SC,Newberry County,0.8
IL,Cass County,0.8
TX,Kleberg County,0.8
TN,Meigs County,0.8
TX,Austin County,0.8
VA,Caroline County,0.8
MO,Laclede County,0.8
KS,Kingman County,0.8
MI,Clare County,0.8
FL,Jackson County,0.8
MI,Newaygo County,0.8
CO,Elbert County,0.8
TN,Stewart County,0.8
TX,Irion County,0.8
MO,Saint Clair County,0.8
NE,Keith County,0.8
NC,Burke County,0.8
NC,Davidson County,0.8
TX,Henderson County,0.8
MA,Suffolk County,0.8
CO,Yuma County,0.8
UT,Wasatch County,0.8
MO,Saline County,0.8
PA,Philadelphia County,0.8
KS,Saline County,0.8
NC,Tyrrell County,0.8
MT,McCone County,0.8
GA,Jeff Davis County,0.8
MD,Caroline County,0.8
VA,Westmoreland County,0.8
CO,Broomfield County,0.8
MI,Missaukee County,0.8
NC,Wake County,0.8
CA,San Francisco County,0.8
TN,Hamblen County,0.8
KS,Riley County,0.8
TX,Garza County,0.8
MI,Calhoun County,0.8
MN,Anoka County,0.8
KS,Dickinson County,0.8
UT,Rich County,0.8
TX,Leon County,0.8
WI,Waushara County,0.8
IA,Wapello County,0.8
AL,Madison County,0.8
TX,Angelina County,0.8
KS,Reno County,0.8
NY,Orange County,0.8
CO,Grand County,0.8
NC,Wayne County,0.8
NC,Anson County,0.8
NE,Red Willow County,0.8
AL,Limestone County,0.8
NC,Granville County,0.8
MI,Allegan County,0.8
GA,Clinch County,0.8
FL,Osceola County,0.8
ND,Griggs County,0.8
TX,Brazoria County,0.8
CO,Boulder County,0.8
TX,Walker County,0.8
TN,Putnam County,0.8
UT,Utah County,0.8
IN,Fulton County,0.8
ID,Franklin County,0.8
TX,Bee County,0.8
AR,Miller County,0.8
AL,Dale County,0.8
TX,Dimmit County,0.8
AR,Conway County,0.8
NC,Forsyth County,0.8
VA,Fredericksburg,0.8
MI,Otsego County,0.8
MO,Vernon County,0.8
TX,Brown County,0.8
TX,La Salle County,0.8
NC,Mecklenburg County,0.8
TX,Callahan County,0.8
AL,Bullock County,0.8
MO,Bates County,0.8
IL,Cook County,0.8
NY,Westchester County,0.8
TX,Rockwall County,0.8
WI,Florence County,0.8
ID,Ada County,0.8
MN,Marshall County,0.8
KS,Logan County,0.8
MO,Texas County,0.8
KS,Anderson County,0.8
KY,McCreary County,0.8
AR,Boone County,0.8
TX,Galveston County,0.8
LA,St. Bernard Parish,0.8
TX,Comal County,0.8
KS,Marion County,0.8
GA,Pierce County,0.8
MT,Wheatland County,0.8
IA,Marshall County,0.8
TX,Duval County,0.8
SC,Colleton County,0.8
TN,Lincoln County,0.8
GA,Long County,0.8
TX,Newton County,0.8
MO,Phelps County,0.8
KS,Coffey County,0.8
WY,Platte County,0.8
KS,Graham County,0.8
KS,Osage County,0.8
LA,Winn Parish,0.8
MA,Hampden County,0.8
TX,Nueces County,0.8
MO,Hickory County,0.8
KS,Rush County,0.8
SD,Lake County,0.8
VA,Prince George County,0.8
GA,Gwinnett County,0.8
TX,Tyler County,0.8
CO,Custer County,0.8
PA,Lehigh County,0.8
VA,Fairfax County,0.702107
NC,Pamlico County,0.7
FL,Suwannee County,0.7
WA,Whitman County,0.7
TX,Willacy County,0.7
TX,Childress County,0.7
TX,Hartley County,0.7
TX,Collin County,0.7
TX,Cass County,0.7
IA,Page County,0.7
TN,Lauderdale County,0.7
AL,Pike County,0.7
IL,Union County,0.7
AR,Jackson County,0.7
MA,Barnstable County,0.7
TN,Montgomery County,0.7
MN,Rice County,0.7
AR,Hempstead County,0.7
KS,Linn County,0.7
VA,Accomack County,0.7
NY,Jefferson County,0.7
WI,Waupaca County,0.7
IA,Pottawattamie County,0.7
DE,Kent County,0.7
WI,Kenosha County,0.7
TX,Kendall County,0.7
MO,Stone County,0.7
KS,Miami County,0.7
TN,Macon County,0.7
WI,Marquette County,0.7
KS,Atchison County,0.7
ND,Adams County,0.7
FL,Wakulla County,0.7
LA,Jefferson Davis Parish,0.7
SD,McCook County,0.7
NE,Gage County,0.7
TX,Jasper County,0.7
SC,Dorchester County,0.7
GA,Toombs County,0.7
MD,Montgomery County,0.7
NJ,Essex County,0.7
NY,Chautauqua County,0.7
WI,Clark County,0.7
AR,Baxter County,0.7
SD,Kingsbury County,0.7
MI,Dickinson County,0.7
NY,Sullivan County,0.7
MI,Alcona County,0.7
AR,Garland County,0.7
NC,McDowell County,0.7
AL,Baldwin County,0.7
MN,Wadena County,0.7
SC,Berkeley County,0.7
KS,Wabaunsee County,0.7
NE,Dixon County,0.7
SC,Marion County,0.7
IN,Wabash County,0.7
MI,Kent County,0.7
MI,Gratiot County,0.7
NC,Vance County,0.7
MO,Clinton County,0.7
AR,Faulkner County,0.7
MO,Polk County,0.7
NE,Wayne County,0.7
NC,Yancey County,0.7
MN,Big Stone County,0.7
MO,Caldwell County,0.7
TX,Houston County,0.7
GA,Polk County,0.7
MI,Mecosta County,0.7
FL,Levy County,0.7
MI,Houghton County,0.7
MO,Christian County,0.7
GA,Morgan County,0.7
MO,Bollinger County,0.7
FL,Okaloosa County,0.7
AR,Monroe County,0.7
NC,Jones County,0.7
GA,Lumpkin County,0.7
MO,Butler County,0.7
VA,Culpeper County,0.7
MO,Morgan County,0.7
TX,Donley County,0.7
ND,Wells County,0.7
ND,Dickey County,0.7
TX,Brazos County,0.7
NJ,Atlantic County,0.7
MO,Pettis County,0.7
AR,Lonoke County,0.7
TX,Wharton County,0.7
MI,Ingham County,0.7
VA,Norfolk,0.7
SD,Union County,0.7
NC,Hyde County,0.7
IL,Hardin County,0.7
MO,Sullivan County,0.7
MN,Faribault County,0.7
AR,Saint Francis County,0.7
NC,Guilford County,0.7
IL,Pope County,0.7
MT,Granite County,0.7
LA,Bossier Parish,0.7
NY,Schenectady County,0.7
AR,Cleburne County,0.7
NY,Madison County,0.7
KY,Meade County,0.7
TN,Trousdale County,0.7
MI,Wexford County,0.7
NE,York County,0.7
KY,Christian County,0.7
NJ,Union County,0.7
AR,Fulton County,0.7
ND,Divide County,0.7
AR,White County,0.7
TX,Baylor County,0.7
MO,Johnson County,0.7
UT,Davis County,0.7
MN,Otter Tail County,0.7
MI,Roscommon County,0.7
IA,Clarke County,0.7
NC,Cabarrus County,0.7
MN,Lyon County,0.7
ID,Custer County,0.7
VA,Arlington County,0.7
TX,Brooks County,0.7
MT,Fallon County,0.7
AR,Independence County,0.7
KS,Lincoln County,0.7
NC,Edgecombe County,0.7
KY,Carlisle County,0.7
TX,Orange County,0.7
MN,Chisago County,0.7
NE,Stanton County,0.7
ND,Emmons County,0.7
VA,Stafford County,0.7
ID,Teton County,0.7
KS,Pawnee County,0.7
MO,Webster County,0.7
WI,Marinette County,0.7
GA,Camden County,0.7
WI,Winnebago County,0.7
MS,Scott County,0.7
ND,Ransom County,0.7
FL,Lafayette County,0.7
WI,Door County,0.7
MO,Greene County,0.7
SC,Chesterfield County,0.7
VA,Harrisonburg,0.7
VA,Nottoway County,0.7
SC,Jasper County,0.7
TX,Anderson County,0.7
WI,Columbia County,0.7
MO,Cass County,0.7
FL,Gilchrist County,0.7
MT,Sweet Grass County,0.7
KS,Nemaha County,0.7
MI,Crawford County,0.7
NC,Macon County,0.7
NC,Henderson County,0.7
NY,Erie County,0.7
MO,Iron County,0.7
WI,Manitowoc County,0.7
MN,Swift County,0.6
FL,Saint Lucie County,0.6
LA,Iberia Parish,0.6
WI,Lafayette County,0.6
MI,Bay County,0.6
DC,District of Columbia,0.6
MI,Osceola County,0.6
GA,Ben Hill County,0.6
MO,Camden County,0.6
KS,Osborne County,0.6
KS,Marshall County,0.6
KS,Sherman County,0.6
NC,Surry County,0.6
VA,Cumberland County,0.6
MI,Lenawee County,0.6
MI,Shiawassee County,0.6
NC,Northampton County,0.6
GA,Bartow County,0.6
FL,Madison County,0.6
AL,Covington County,0.6
LA,West Carroll Parish,0.6
IA,Buena Vista County,0.6
VA,Hopewell,0.6
IA,Allamakee County,0.6
NC,Union County,0.6
LA,Jefferson Parish,0.6
SD,Edmunds County,0.6
NE,Sarpy County,0.6
GA,Wayne County,0.6
AL,Coosa County,0.6
MI,Montcalm County,0.6
KY,Trimble County,0.6
NC,Haywood County,0.6
MO,Clay County,0.6
HI,Hawaii County,0.6
VA,Chesterfield County,0.6
LA,Assumption Parish,0.6
TX,Briscoe County,0.6
MO,Buchanan County,0.6
NY,Richmond County,0.6
ND,McIntosh County,0.6
FL,Putnam County,0.6
NC,Craven County,0.6
NC,Davie County,0.6
FL,Highlands County,0.6
FL,Hillsborough County,0.6
MA,Bristol County,0.6
MO,Henry County,0.6
KS,Comanche County,0.6
WI,Rusk County,0.6
TX,Mason County,0.6
WI,Trempealeau County,0.6
NE,Merrick County,0.6
TN,Monroe County,0.6
AL,Russell County,0.6
HI,Maui County,0.6
MO,Ray County,0.6
GA,Crawford County,0.6
GA,Charlton County,0.6
GA,Tattnall County,0.6
MO,Douglas County,0.6
NJ,Middlesex County,0.6
GA,Calhoun County,0.6
TX,Lavaca County,0.6
AL,Clay County,0.6
VT,Essex County,0.6
IL,Fulton County,0.6
MS,Pontotoc County,0.6
WI,Marathon County,0.6
FL,Palm Beach County,0.6
ID,Caribou County,0.6
NJ,Mercer County,0.6
AL,Blount County,0.6
IL,Boone County,0.6
AR,Craighead County,0.6
WI,Price County,0.6
NE,Cuming County,0.6
NC,Currituck County,0.6
NE,Furnas County,0.6
AR,Lee County,0.6
FL,Gadsden County,0.6
AR,Union County,0.6
GA,White County,0.6
LA,St. Tammany Parish,0.6
WI,Racine County,0.6
MI,Gladwin County,0.6
VT,Orleans County,0.6
SC,Calhoun County,0.6
TN,Bradley County,0.6
TN,Benton County,0.6
SC,Orangeburg County,0.6
TX,San Augustine County,0.6
NC,Rowan County,0.6
MO,Benton County,0.6
MO,Grundy County,0.6
CO,Routt County,0.6
KS,Cloud County,0.6
IA,Muscatine County,0.6
NC,Orange County,0.6
AL,Colbert County,0.6
TX,Schleicher County,0.6
IL,Bond County,0.6
TN,Rhea County,0.6
FL,Orange County,0.6
GA,Gordon County,0.6
MT,Madison County,0.6
NC,Gates County,0.6
MO,Wright County,0.6
TX,Cameron County,0.6
MO,Miller County,0.6
MS,Hancock County,0.6
LA,Cameron Parish,0.6
MI,Ottawa County,0.6
MI,Tuscola County,0.6
MI,Genesee County,0.6
VA,Colonial Heights,0.6
UT,Summit County,0.6
GA,Evans County,0.6
NJ,Camden County,0.6
MI,Sanilac County,0.6
NE,Fillmore County,0.6
GA,Gilmer County,0.6
NC,Lenoir County,0.6
TX,Webb County,0.6
GA,Clayton County,0.6
TN,Grundy County,0.6
FL,Franklin County,0.6
ME,Piscataquis County,0.6
MN,Isanti County,0.6
MO,Platte County,0.6
IN,Elkhart County,0.6
NC,Carteret County,0.6
NC,Dare County,0.6
NY,Suffolk County,0.6
MI,Ionia County,0.6
MN,Sherburne County,0.6
VA,Rockbridge County,0.6
NC,Caswell County,0.6
IL,Rock Island County,0.6
GA,Stewart County,0.6
IN,White County,0.6
VA,Amelia County,0.6
AL,Barbour County,0.6
WV,Nicholas County,0.6
VA,Newport News,0.6
MT,Petroleum County,0.6
GA,Banks County,0.6
MI,Saint Joseph County,0.6
TX,Fort Bend County,0.6
WI,Kewaunee County,0.6
GA,Jasper County,0.6
OH,Pike County,0.6
NC,Caldwell County,0.6
MS,Pearl River County,0.6
NC,Yadkin County,0.6
NC,Wilson County,0.6
VA,King George County,0.6
VA,Rockingham County,0.6
GA,Sumter County,0.6
MI,Alpena County,0.6
MO,Jackson County,0.6
NC,Polk County,0.6
AR,Hot Spring County,0.6
SC,Horry County,0.6
WI,Fond du Lac County,0.6
TX,Jim Hogg County,0.6
NE,Holt County,0.6
TX,Concho County,0.6
GA,Terrell County,0.6
AR,Clark County,0.6
MI,Montmorency County,0.6
TX,Panola County,0.6
NE,Hitchcock County,0.6
NC,New Hanover County,0.6
MO,Maries County,0.6
WI,Eau Claire County,0.6
FL,Lake County,0.6
MN,Lake County,0.6
AR,Saline County,0.6
MO,Howard County,0.6
TN,Humphreys County,0.6
TX,Shackelford County,0.6
KS,Morris County,0.6
WI,Chippewa County,0.6
MT,Meagher County,0.6
SC,Barnwell County,0.6
AL,Cullman County,0.6
CT,Windham County,0.6
KS,McPherson County,0.6
HI,Kauai County,0.6
FL,Polk County,0.6
MS,Jones County,0.6
MI,Berrien County,0.6
VA,Richmond County,0.592148
AL,Crenshaw County,0.5
MI,Barry County,0.5
PA,Forest County,0.5
SC,Greenville County,0.5
ME,Kennebec County,0.5
NE,Jefferson County,0.5
NE,Nance County,0.5
GA,Pickens County,0.5
MO,Wayne County,0.5
TX,McMullen County,0.5
ND,Logan County,0.5
OH,Adams County,0.5
AL,Autauga County,0.5
AL,Calhoun County,0.5
MS,Harrison County,0.5
WI,La Crosse County,0.5
GA,Peach County,0.5
KY,Hardin County,0.5
WI,Sheboygan County,0.5
LA,Caddo Parish,0.5
GA,McIntosh County,0.5
NH,Coos County,0.5
FL,Volusia County,0.5
NY,Oswego County,0.5
MD,Dorchester County,0.5
CT,Fairfield County,0.5
TN,Dickson County,0.5
PA,Monroe County,0.5
GA,DeKalb County,0.5
LA,Calcasieu Parish,0.5
VA,Lynchburg,0.5
IA,Sioux County,0.5
IA,Montgomery County,0.5
MN,Mower County,0.5
NY,Montgomery County,0.5
AR,Dallas County,0.5
GA,Bryan County,0.5
VA,Nelson County,0.5
MO,Mercer County,0.5
MO,Washington County,0.5
AR,Nevada County,0.5
CT,New Haven County,0.5
NE,Brown County,0.5
FL,Marion County,0.5
NC,Bertie County,0.5
IN,Marion County,0.5
OH,Morgan County,0.5
TN,McMinn County,0.5
MN,Washington County,0.5
TN,Davidson County,0.5
FL,Manatee County,0.5
KS,Washington County,0.5
IL,McHenry County,0.5
MO,Stoddard County,0.5
TN,Marion County,0.5
RI,Newport County,0.5
NC,Stokes County,0.5
TN,Maury County,0.5
NE,Buffalo County,0.5
MS,Stone County,0.5
WI,Dane County,0.5
TX,Washington County,0.5
NC,Buncombe County,0.5
SD,Miner County,0.5
LA,St. Martin Parish,0.5
MO,Monroe County,0.5
GA,Muscogee County,0.5
ME,Somerset County,0.5
MO,DeKalb County,0.5
ID,Madison County,0.5
MI,Branch County,0.5
GA,Mitchell County,0.5
AR,Mississippi County,0.5
KY,Breckinridge County,0.5
IL,Winnebago County,0.5
FL,Brevard County,0.5
MN,Benton County,0.5
NC,Madison County,0.5
IA,Mills County,0.5
GA,Miller County,0.5
FL,Nassau County,0.5
IN,Starke County,0.5
MI,Midland County,0.5
NY,Nassau County,0.5
KS,Smith County,0.5
TX,Zapata County,0.5
KY,Butler County,0.5
IA,Decatur County,0.5
TN,Smith County,0.5
CT,Hartford County,0.5
AL,Houston County,0.5
GA,Turner County,0.5
MI,Hillsdale County,0.5
TN,Polk County,0.5
TN,Rutherford County,0.5
MO,Audrain County,0.5
TX,Hidalgo County,0.5
TN,Hickman County,0.5
FL,Hernando County,0.5
VA,Emporia,0.5
WI,Portage County,0.5
VA,Portsmouth,0.5
TN,Sevier County,0.5
LA,Union Parish,0.5
LA,Claiborne Parish,0.5
GA,Union County,0.5
MO,Harrison County,0.5
NY,Essex County,0.5
TN,Sequatchie County,0.5
NE,Harlan County,0.5
TX,Hardin County,0.5
AL,Etowah County,0.5
FL,Clay County,0.5
VA,Hanover County,0.5
AR,Pulaski County,0.5
PA,Union County,0.5
IL,Pulaski County,0.5
ME,Hancock County,0.5
NC,Pitt County,0.5
WI,Saint Croix County,0.5
WI,Pierce County,0.5
MI,Saint Clair County,0.5
VA,Warren County,0.5
VA,York County,0.5
PA,Pike County,0.5
TN,Jackson County,0.5
AL,Cherokee County,0.5
GA,Cherokee County,0.5
SC,Cherokee County,0.5
MO,Crawford County,0.5
CO,Pitkin County,0.5
IL,Jackson County,0.5
VA,Hampton,0.5
SC,Chester County,0.5
TN,Chester County,0.5
MI,Saginaw County,0.5
NC,Iredell County,0.5
FL,Indian River County,0.5
AL,Chilton County,0.5
IL,Alexander County,0.5
IA,Plymouth County,0.5
IN,Huntington County,0.5
IA,Pocahontas County,0.5
NC,Chowan County,0.5
NE,Howard County,0.5
NC,Avery County,0.5
MD,Frederick County,0.5
GA,Glynn County,0.5
VA,Gloucester County,0.5
VA,Virginia Beach,0.5
FL,Collier County,0.5
WI,Walworth County,0.5
NC,Gaston County,0.5
AR,Columbia County,0.5
FL,Columbia County,0.5
MI,Wayne County,0.5
ME,Waldo County,0.5
NE,Frontier County,0.5
AL,Walker County,0.5
NC,Alleghany County,0.5
TX,Cottle County,0.5
OH,Scioto County,0.5
TN,Robertson County,0.5
NE,Franklin County,0.5
MN,Rock County,0.5
WI,Rock County,0.5
GA,Rockdale County,0.5
IA,Franklin County,0.5
KS,Wallace County,0.5
NC,Rockingham County,0.5
GA,Forsyth County,0.5
MO,Cooper County,0.5
NY,Rockland County,0.5
IN,Allen County,0.5
GA,Greene County,0.5
SD,Hamlin County,0.5
TN,Hamilton County,0.5
LA,Webster Parish,0.5
KS,Clay County,0.5
VA,Waynesboro,0.5
FL,Gulf County,0.5
VA,Falls Church,0.5
GA,Rabun County,0.5
SC,Greenwood County,0.5
MO,Warren County,0.5
AL,Randolph County,0.5
AR,Randolph County,0.5
AR,Cleveland County,0.5
AR,Chicot County,0.5
AR,Greene County,0.5
WI,Green Lake County,0.5
VA,Fauquier County,0.5
KS,Gray County,0.5
GA,Appling County,0.5
LA,Red River Parish,0.5
MI,Clinton County,0.5
AR,Grant County,0.5
IL,Warren County,0.5
GA,Cobb County,0.5
TN,Cocke County,0.5
GA,Ware County,0.5
ND,Renville County,0.5
IN,Bartholomew County,0.5
CO,Douglas County,0.5
CO,Ouray County,0.5
AR,Lawrence County,0.5
AL,Lauderdale County,0.5
MD,Wicomico County,0.5
MI,Lapeer County,0.5
TN,Lake County,0.5
MN,Todd County,0.5
GA,Carroll County,0.5
MO,Lafayette County,0.5
NC,Pasquotank County,0.5
VA,Patrick County,0.5
FL,Lee County,0.5
TN,Carroll County,0.5
NJ,Salem County,0.5
TN,White County,0.5
WI,Dunn County,0.5
MO,Pemiscot County,0.5
MN,Kittson County,0.5
NY,Dutchess County,0.5
GA,Barrow County,0.5
TN,Crockett County,0.5
IN,Saint Joseph County,0.5
NE,Cass County,0.5
SC,Aiken County,0.5
SC,Sumter County,0.5
MN,Dakota County,0.5
GA,Lowndes County,0.5
KY,Oldham County,0.5
IA,Louisa County,0.5
VA,Loudoun County,0.5
TN,Loudon County,0.5
VT,Caledonia County,0.5
AR,Calhoun County,0.5
ID,Oneida County,0.5
MO,Livingston County,0.5
LA,Livingston Parish,0.5
IN,Lake County,0.5
WI,Lincoln County,0.5
SD,Lincoln County,0.5
MO,Callaway County,0.5
WI,Dodge County,0.5
WI,Calumet County,0.5
GA,Dade County,0.5
SC,Lexington County,0.5
NE,Custer County,0.5
NC,Camden County,0.5
NE,Otoe County,0.5
KS,Ottawa County,0.5
NC,Catawba County,0.5
MI,Eaton County,0.5
KS,Phillips County,0.5
WI,Jefferson County,0.5
TN,Tipton County,0.5
SD,Jerauld County,0.5
KS,Sheridan County,0.5
NE,Cedar County,0.5
WV,Barbour County,0.5
MO,Perry County,0.5
KY,Shelby County,0.5
IL,Kendall County,0.5
GA,Thomas County,0.5
NE,Phelps County,0.5
IA,Cass County,0.5
MI,Kalamazoo County,0.5
VA,Franklin County,0.48686
NJ,Cape May County,0.4
PA,Lancaster County,0.4
MO,Cape Girardeau County,0.4
SD,McPherson County,0.4
LA,Evangeline Parish,0.4
MN,Cottonwood County,0.4
GA,Brantley County,0.4
MI,Jackson County,0.4
VA,Danville,0.4
PA,Sullivan County,0.4
WV,Greenbrier County,0.4
KY,Green County,0.4
SC,Richland County,0.4
IL,Vermilion County,0.4
MO,Saint Francois County,0.4
NC,Wilkes County,0.4
LA,Lincoln Parish,0.4
MN,Blue Earth County,0.4
IL,Bureau County,0.4
IL,Perry County,0.4
TN,Sumner County,0.4
NY,Cayuga County,0.4
OH,Athens County,0.4
RI,Kent County,0.4
SC,Spartanburg County,0.4
GA,Haralson County,0.4
NE,Seward County,0.4
VA,Henrico County,0.4
IN,Orange County,0.4
GA,Dawson County,0.4
GA,Spalding County,0.4
VT,Bennington County,0.4
MD,Anne Arundel County,0.4
LA,Richland Parish,0.4
ND,Billings County,0.4
MO,Boone County,0.4
TN,Morgan County,0.4
TN,Shelby County,0.4
VA,Orange County,0.4
IA,Adams County,0.4
AL,Shelby County,0.4
GA,Worth County,0.4
VA,Southampton County,0.4
MN,Wright County,0.4
IL,Ogle County,0.4
GA,Newton County,0.4
TN,Roane County,0.4
MN,Sibley County,0.4
SC,Bamberg County,0.4
IN,Newton County,0.4
AL,Saint Clair County,0.4
AR,Phillips County,0.4
TN,Anderson County,0.4
IA,Boone County,0.4
IA,Scott County,0.4
ME,Androscoggin County,0.4
FL,Pinellas County,0.4
MD,Baltimore County,0.4
MS,Adams County,0.4
IA,Polk County,0.4
AR,Arkansas County,0.4
IL,Saline County,0.4
IN,Putnam County,0.4
NY,Seneca County,0.4
IN,Pulaski County,0.4
NY,Wyoming County,0.4
LA,Bienville Parish,0.4
NE,Arthur County,0.4
OH,Paulding County,0.4
NC,Perquimans County,0.4
MD,Queen Anne's County,0.4
MT,Prairie County,0.4
MD,Saint Mary's County,0.4
NC,Alexander County,0.4
KY,Russell County,0.4
NE,Saunders County,0.4
NE,Nemaha County,0.4
DE,New Castle County,0.4
TN,Bledsoe County,0.4
MN,Pope County,0.4
IL,Peoria County,0.4
MA,Worcester County,0.4
GA,Baker County,0.4
MS,Perry County,0.4
MD,Worcester County,0.4
SC,Beaufort County,0.4
MN,Nicollet County,0.4
ME,Sagadahoc County,0.4
FL,Baker County,0.4
KS,Norton County,0.4
IN,Randolph County,0.4
MD,Somerset County,0.4
LA,Orleans Parish,0.4
GA,Berrien County,0.4
IN,Owen County,0.4
GA,Screven County,0.4
IA,Wright County,0.4
ME,Oxford County,0.4
GA,Bacon County,0.4
VA,Shenandoah County,0.4
IN,Noble County,0.4
PA,Northampton County,0.4
IA,Webster County,0.4
GA,Lincoln County,0.4
AR,Lincoln County,0.4
IA,Greene County,0.4
MS,Greene County,0.4
GA,Talbot County,0.4
TN,Lewis County,0.4
AL,Cleburne County,0.4
AL,Talladega County,0.4
IL,Grundy County,0.4
AL,Tallapoosa County,0.4
IA,Hamilton County,0.4
MS,Leflore County,0.4
LA,Vermilion Parish,0.4
LA,Tangipahoa Parish,0.4
SC,Hampton County,0.4
AL,Lee County,0.4
PA,Cameron County,0.4
MN,Le Sueur County,0.4
GA,Hancock County,0.4
TN,Hancock County,0.4
SD,Hand County,0.4
SC,Laurens County,0.4
TN,Hardin County,0.4
GA,Clarke County,0.4
AL,Clarke County,0.4
IN,Grant County,0.4
GA,Macon County,0.4
MS,George County,0.4
FL,Sumter County,0.4
TN,Giles County,0.4
GA,Glascock County,0.4
PA,Luzerne County,0.4
VA,Lunenburg County,0.4
NE,Gosper County,0.4
OH,Vinton County,0.4
TN,Coffee County,0.4
GA,Coffee County,0.4
VA,Surry County,0.4
SC,Lancaster County,0.4
OH,Lorain County,0.4
KY,Logan County,0.4
VA,Sussex County,0.4
NY,Clinton County,0.4
IN,Clinton County,0.4
KY,Graves County,0.4
NY,Wayne County,0.4
GA,Wilkinson County,0.4
NC,Lincoln County,0.4
MO,Lincoln County,0.4
ME,Lincoln County,0.4
NY,Chenango County,0.4
IL,Kankakee County,0.4
GA,Jackson County,0.4
MN,Kandiyohi County,0.4
NE,Thomas County,0.4
NC,Transylvania County,0.4
VA,Chesapeake,0.4
OH,Champaign County,0.4
MN,Jackson County,0.4
GA,Tift County,0.4
MS,Jackson County,0.4
KS,Johnson County,0.4
SC,Charleston County,0.4
LA,Catahoula Parish,0.4
TN,Cheatham County,0.4
MS,Tippah County,0.4
IN,Tippecanoe County,0.4
VA,James City County,0.4
GA,Chattooga County,0.4
GA,Jenkins County,0.4
VA,Charlotte County,0.4
FL,Jefferson County,0.4
VA,Charlottesville,0.4
NY,Tompkins County,0.4
NE,Chase County,0.4
MS,Tishomingo County,0.4
HI,Honolulu County,0.4
VT,Lamoille County,0.4
FL,Union County,0.4
IL,Carroll County,0.4
AR,Lafayette County,0.4
LA,Lafayette Parish,0.4
NY,Ulster County,0.4
KY,Carroll County,0.4
KY,Henry County,0.4
OH,Henry County,0.4
GA,Twiggs County,0.4
IN,Clark County,0.4
OH,Hocking County,0.4
IN,Vigo County,0.4
IN,Kosciusko County,0.4
TN,Knox County,0.4
ME,Knox County,0.4
IN,Howard County,0.4
IL,Knox County,0.4
FL,Citrus County,0.4
GA,Troup County,0.4
MI,Huron County,0.4
NE,Keya Paha County,0.4
SC,Kershaw County,0.4
KY,Trigg County,0.4
IN,Brown County,0.4
AR,Drew County,0.4
IL,DuPage County,0.4
MO,Dunklin County,0.4
FL,Duval County,0.4
MN,Stearns County,0.4
AR,Crittenden County,0.4
GA,Effingham County,0.4
GA,Meriwether County,0.4
MN,Steele County,0.4
TN,Warren County,0.4
GA,Stephens County,0.4
GA,Brooks County,0.4
FL,Broward County,0.4
MI,Washtenaw County,0.4
KS,Ellis County,0.4
IN,Crawford County,0.4
AL,Elmore County,0.4
IL,Crawford County,0.4
WA,Garfield County,0.4
OH,Erie County,0.4
GA,McDuffie County,0.4
TN,Wilson County,0.4
GA,Coweta County,0.4
VA,Covington,0.4
IL,Massac County,0.4
GA,Fannin County,0.4
SD,Deuel County,0.4
IL,DeKalb County,0.4
MO,Daviess County,0.4
TN,Washington County,0.4
IN,Daviess County,0.4
