State,County,NativeAmerPerc
MT,Cascade County,4.6
MT,Powell County,4.6
UT,Duchesne County,4.6
MT,Sanders County,4.5
ID,Owyhee County,4.5
CA,Madera County,4.5
WA,Mason County,4.5
ND,Pierce County,4.5
MT,Yellowstone County,4.5
ND,Eddy County,4.5
NV,Pershing County,4.4
UT,Grand County,4.4
AZ,Pima County,4.3
OR,Umatilla County,4.3
OR,Wasco County,4.2
CA,Lassen County,4.2
OK,Oklahoma County,4.2
NE,Dawes County,4.1
CA,Lake County,4.1
NE,Box Butte County,4.1
OK,Alfalfa County,4.1
NM,Santa Fe County,4.1
ND,Burleigh County,4.1
OK,Tillman County,4.1
NC,Halifax County,4
NM,Torrance County,4
KS,Cherokee County,4
MI,Alger County,4
WA,Pend Oreille County,4
OK,Kingfisher County,4
OR,Lincoln County,4
OK,Washita County,3.9
OR,Harney County,3.9
ND,Morton County,3.9
ND,Williams County,3.9
NM,Lincoln County,3.8
MN,Itasca County,3.8
MI,Emmet County,3.8
NE,Dakota County,3.8
MI,Isabella County,3.8
CO,Conejos County,3.7
AK,Denali Borough,3.7
ID,Bannock County,3.7
CO,Dolores County,3.6
SD,Jones County,3.6
MI,Leelanau County,3.6
CO,Otero County,3.6
MT,Deer Lodge County,3.5
MS,Kemper County,3.5
NC,Columbus County,3.5
CO,Las Animas County,3.5
ND,Towner County,3.5
OK,Greer County,3.5
TX,Loving County,3.5
OK,Logan County,3.5
OK,Beckham County,3.4
CA,Tehama County,3.4
OK,Woodward County,3.4
CO,Crowley County,3.4
MN,Yellow Medicine County,3.4
AL,Escambia County,3.4
KS,Montgomery County,3.4
CA,Mariposa County,3.4
SD,Custer County,3.4
SD,Brown County,3.3
NM,Mora County,3.3
CO,Archuleta County,3.3
NY,Cattaraugus County,3.3
AR,Sevier County,3.3
NE,Richardson County,3.3
CO,Rio Grande County,3.3
NE,Colfax County,3.3
AZ,Greenlee County,3.3
NM,Catron County,3.3
CO,Bent County,3.2
NV,Lyon County,3.2
CA,Plumas County,3.2
MN,Pine County,3.2
WA,Whatcom County,3.2
ND,Oliver County,3.1
ID,Power County,3.1
CA,Shasta County,3.1
GA,Echols County,3.1
NC,Sampson County,3.1
WI,Brown County,3.1
WA,Pacific County,3.1
MO,McDonald County,3.1
CA,San Benito County,3.1
NM,San Miguel County,3.1
NC,Richmond County,3.1
TX,Culberson County,3.1
OK,Garfield County,3.1
SD,Yankton County,3
CO,Pueblo County,3
CA,Kings County,3
SD,Clay County,3
CO,Saguache County,3
ID,Idaho County,3
NE,Scotts Bluff County,3
OK,Major County,3
NM,Union County,3
MI,Cheboygan County,3
CA,Yuba County,3
CA,Fresno County,3
NV,Eureka County,2.9
LA,Lafourche Parish,2.9
CA,Glenn County,2.9
OR,Coos County,2.9
MT,Missoula County,2.9
TX,Upton County,2.9
NY,Bronx County,2.9
ND,Hettinger County,2.9
CA,Mono County,2.9
OK,Woods County,2.9
NC,Bladen County,2.9
AZ,Mohave County,2.9
MN,Aitkin County,2.8
AZ,Maricopa County,2.8
ND,Grand Forks County,2.8
WA,Klickitat County,2.8
SC,Dillon County,2.8
CA,Tulare County,2.8
MI,Menominee County,2.8
SD,Davison County,2.8
SD,Meade County,2.8
OK,Ellis County,2.8
TX,Terrell County,2.8
NM,Guadalupe County,2.8
KS,Douglas County,2.7
MI,Gogebic County,2.7
NV,Carson City,2.7
WA,Skagit County,2.7
TX,Bailey County,2.7
SD,Minnehaha County,2.7
CA,Monterey County,2.7
ND,Richland County,2.7
CA,Kern County,2.6
IA,Woodbury County,2.6
NM,Colfax County,2.6
CO,Lake County,2.6
CA,Imperial County,2.6
OR,Marion County,2.6
CA,Colusa County,2.6
OK,Jackson County,2.5
MN,Koochiching County,2.5
MN,Hubbard County,2.5
CA,Merced County,2.5
LA,Allen Parish,2.5
ND,Bowman County,2.5
AR,Crawford County,2.5
UT,Iron County,2.5
OR,Polk County,2.5
ND,Slope County,2.5
ND,Bottineau County,2.5
OK,Grant County,2.5
NM,Quay County,2.5
ND,Ward County,2.5
MI,Delta County,2.5
CO,Gunnison County,2.5
TX,Collingsworth County,2.5
CA,Butte County,2.5
NM,Sierra County,2.5
OK,Harmon County,2.5
TX,Cochran County,2.5
ID,Jerome County,2.4
MO,Newton County,2.4
ND,Mercer County,2.4
SD,Douglas County,2.4
TX,Titus County,2.4
