State,County,BlackPerc
MS,Franklin County,35.5
FL,Jefferson County,35.4
GA,Brooks County,35.4
GA,Troup County,35.4
AL,Mobile County,35.3
VA,Northampton County,35.2
NY,Kings County,35.2
TN,Lauderdale County,35.1
GA,Johnson County,35
AR,Mississippi County,34.9
GA,McIntosh County,34.9
VA,Mecklenburg County,34.9
NC,Pitt County,34.8
NC,Bladen County,34.6
VA,Buckingham County,34.6
NC,Hoke County,34.3
TX,Jefferson County,34.3
MS,Clarke County,34.2
NC,Chowan County,34.2
GA,Emanuel County,34.2
NC,Guilford County,34
VA,Lunenburg County,34
LA,Webster Parish,34
MS,Carroll County,34
FL,Hamilton County,33.5
NC,Caswell County,33.5
GA,Spalding County,33.2
NC,Gates County,33.2
GA,Seminole County,33
VA,Dinwiddie County,32.7
VA,Prince Edward County,32.6
SC,Georgetown County,32.6
AR,Union County,32.6
LA,St. Mary Parish,32.6
AL,Talladega County,32.5
SC,Chesterfield County,32.5
AL,Escambia County,32.4
MS,Marion County,32.4
GA,Treutlen County,32.3
IL,Pulaski County,32.3
LA,Catahoula Parish,32.2
LA,Iberia Parish,32.2
NC,Mecklenburg County,32.2
VA,Prince George County,32.2
VA,Cumberland County,32.2
SC,Greenwood County,32.1
NC,Granville County,32.1
LA,Franklin Parish,32
LA,Rapides Parish,32
GA,Charlton County,32
NC,Wayne County,31.9
AL,Coosa County,31.8
GA,Lamar County,31.7
SC,Union County,31.7
GA,Pulaski County,31.7
FL,Leon County,31.6
GA,Lincoln County,31.6
NC,Richmond County,31.4
MS,Lawrence County,31.4
MS,Tate County,31.3
SC,Newberry County,31.3
GA,Evans County,31.2
NC,Jones County,31.1
AL,Tuscaloosa County,31
MS,Lincoln County,31
LA,Winn Parish,30.9
GA,Marion County,30.8
MS,Monroe County,30.8
NC,Columbus County,30.5
AR,Nevada County,30.5
LA,St. Martin Parish,30.5
LA,Washington Parish,30.4
AR,Lincoln County,30.3
OH,Cuyahoga County,30.3
GA,Houston County,30.3
MS,Newton County,30.3
IL,Saint Clair County,30.2
LA,Tangipahoa Parish,30.2
GA,Tift County,30.1
VA,Chesapeake,30.1
VA,Henrico County,30.1
FL,Duval County,30.1
GA,Dodge County,30
AR,Hempstead County,29.9
LA,Assumption Parish,29.9
NC,Hyde County,29.6
MS,Choctaw County,29.5
GA,Tattnall County,29.5
LA,Avoyelles Parish,29.5
GA,Elbert County,29.4
VA,Charlotte County,29.3
MS,Jones County,29.3
GA,Ware County,29.3
LA,Jackson Parish,29.1
GA,Grady County,29.1
GA,Bulloch County,29.1
GA,Worth County,28.9
FL,Broward County,28.9
MS,Lee County,28.7
SC,Charleston County,28.6
VA,Lynchburg,28.5
LA,Evangeline Parish,28.4
SC,Abbeville County,28.3
GA,Clinch County,28.3
MD,Dorchester County,28.3
VA,Caroline County,28.2
TN,Davidson County,28.1
VA,Accomack County,28.1
TN,Lake County,28.1
GA,Miller County,28.1
GA,Coffee County,28
MS,Calhoun County,28
AR,Drew County,28
VA,Lancaster County,28
GA,Upson County,28
IN,Marion County,27.8
GA,Cook County,27.8
GA,Butts County,27.7
GA,Clarke County,27.7
AR,Bradley County,27.6
TN,Fayette County,27.5
VA,Westmoreland County,27.4
AL,Henry County,27.3
NC,Person County,27.3
GA,Cobb County,27.3
AL,Tallapoosa County,27.3
GA,Putnam County,27.3
MS,Greene County,27.2
LA,Jefferson Parish,27.2
WI,Milwaukee County,27.2
NC,Forsyth County,27.1
FL,Jackson County,27
NC,Sampson County,27
GA,Gwinnett County,27
VA,King and Queen County,26.9
AR,Woodruff County,26.9
GA,Bleckley County,26.8
NC,Franklin County,26.8
GA,Montgomery County,26.8
MO,Pemiscot County,26.7
GA,Irwin County,26.7
AL,Houston County,26.7
LA,St. Charles Parish,26.6
GA,Glynn County,26.5
SC,Saluda County,26.2
LA,Union Parish,26.2
OH,Hamilton County,26.1
LA,Lafayette Parish,26.1
GA,Toombs County,26
SC,Laurens County,26
NC,Duplin County,26
SC,Dorchester County,25.9
TX,Houston County,25.8
TX,Waller County,25.6
AR,Ashley County,25.6
GA,Long County,25.6
LA,Calcasieu Parish,25.3
NC,Beaufort County,25.3
IN,Lake County,25.3
MD,Wicomico County,25.2
DE,Kent County,25.2
SC,Kershaw County,25.2
SC,Berkeley County,25.1
AR,Miller County,25.1
SC,Aiken County,25.1
MS,DeSoto County,24.9
DE,New Castle County,24.9
GA,Jones County,24.9
TX,Falls County,24.8
VA,Northumberland County,24.8
KS,Wyandotte County,24.8
MO,Mississippi County,24.7
NC,Robeson County,24.7
MA,Suffolk County,24.7
TX,Bowie County,24.7
AL,Washington County,24.6
AL,Madison County,24.6
AR,Arkansas County,24.5
GA,Candler County,24.5
IL,Cook County,24.4
NC,Perquimans County,24.4
KY,Fulton County,24.3
VA,Fredericksburg,24.1
MO,Jackson County,24
MS,Harrison County,24
AR,Clark County,24
AL,Crenshaw County,24
MO,Saint Louis County,23.9
VA,Isle of Wight County,23.9
GA,Monroe County,23.7
AL,Lee County,23.7
MS,Lafayette County,23.7
MS,Smith County,23.6
NJ,Union County,23.5
VA,Chesterfield County,23.3
LA,Allen Parish,23.2
GA,Colquitt County,23.2
GA,Morgan County,23.2
TX,Dallas County,23.1
TX,Walker County,23.1
TX,Morris County,23
LA,Ascension Parish,22.9
FL,Union County,22.9
AR,Cross County,22.9
FL,Escambia County,22.8
TX,San Augustine County,22.8
TX,Bell County,22.7
SC,Lancaster County,22.7
GA,Lanier County,22.7
VA,Alexandria,22.6
TX,Harrison County,22.5
LA,St. Bernard Parish,22.3
TX,Marion County,22.2
FL,Orange County,22.2
OH,Franklin County,22.2
MS,Jackson County,22.1
AL,Bibb County,22.1
VA,Henry County,22
AR,Calhoun County,22
GA,Fayette County,22
NJ,Cumberland County,21.9
VA,Amelia County,21.9
VA,Pittsylvania County,21.7
NC,Craven County,21.7
LA,Bossier Parish,21.7
TX,Anderson County,21.7
VA,Prince William County,21.5
GA,Jasper County,21.5
KY,Jefferson County,21.5
NC,Harnett County,21.5
GA,Schley County,21.5
NC,Wake County,21.3
GA,Crawford County,21.3
AL,Elmore County,21.2
MS,Neshoba County,21.2
