County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Hawaii County,100.00,28.57,100.00,60.00,0.00,12.30,0.00,0.90,14.29,30.60
Honolulu County,86.67,27.78,88.89,26.67,5.56,9.50,0.00,3.10,11.11,19.60
Maui County,100.00,0.00,0.00,100.00,0.00,11.00,0.00,0.90,0.00,31.30
Unknown County,100.00,0.00,100.00,50.00,0.00,11.00,16.67,0.90,0.00,31.30
