County,NumArmedShootings,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Hawaii County,5,0,0,0,1,1
Honolulu County,15,0,1,0,2,11
Maui County,1,0,0,0,0,0
