County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Fairbanks North Star Borough County,100.00,0.00,83.33,91.67,0.00,7.70,0.00,5.40,63.64,71.30
Juneau Borough County,100.00,0.00,100.00,0.00,0.00,7.70,0.00,5.40,100.00,71.30
Kenai Peninsula Borough County,50.00,50.00,75.00,50.00,0.00,4.00,0.00,0.80,100.00,81.40
Kusilvak Borough County,100.00,0.00,100.00,100.00,0.00,4.00,0.00,0.80,0.00,81.40
Matanuska-Susitna Borough County,90.00,10.00,100.00,60.00,0.00,4.70,20.00,1.30,70.00,80.30
North Slope Borough County,100.00,0.00,100.00,100.00,0.00,3.90,0.00,1.50,0.00,32.10
Unknown County,100.00,0.00,100.00,0.00,0.00,3.90,0.00,1.50,50.00,32.10
Valdez-Cordova Borough County,100.00,0.00,0.00,0.00,0.00,3.90,0.00,1.50,0.00,32.10
