County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Carroll County,9398,0,0,0,1,0
Carroll County,5702,0,0,0,1,0
Carson City County,8833,0,0,0,4,0
Carson County,433,0,0,0,0,1
Carter County,5526,0,0,0,1,0
Carter County,7958,0,0,0,2,0
Carter County,13027,0,0,0,2,0
Carver County,4867,0,0,0,2,0
Cascade County,12269,0,0,1,4,0
Cass County,6342,1,0,0,0,0
Cass County,4684,0,0,0,1,0
Cass County,8979,0,0,0,2,0
Cass County,21711,0,0,0,1,0
Cass County,1634,0,0,0,1,0
Cass County,6325,0,0,0,1,0
Catawba County,23489,1,0,0,3,0
Catoosa County,9121,0,0,0,1,0
Cecil County,10648,1,0,0,5,0
Centre County,32542,1,0,0,0,0
Chambers County,3700,0,0,0,1,0
Champaign County,46191,1,0,0,0,0
Charles County,10832,0,0,0,0,1
Charleston County,69345,4,0,0,4,0
Charlevoix County,3474,0,0,0,1,0
Charlotte County,21228,0,0,0,2,0
Charlottesville County,12538,1,0,0,0,0
Chatham County,54125,6,0,0,2,0
Chautauqua County,25222,0,0,0,1,0
Chaves County,14032,0,0,0,2,0
Cheatham County,5487,0,0,0,2,0
Chelan County,9846,0,0,0,1,0
Chemung County,13780,0,0,0,2,0
Cherokee County,22637,0,0,0,1,0
Cherokee County,11022,1,0,1,4,0
Cherokee County,12886,0,0,0,1,0
Cherokee County,12471,0,0,0,1,0
Chesapeake County,19837,2,0,0,0,0
Chester County,35382,1,0,0,0,0
Chester County,7923,1,0,0,1,0
Chesterfield County,12362,0,0,0,1,0
Chesterfield County,22277,0,0,0,2,0
Cheyenne County,1421,0,0,0,1,0
Chickasaw County,1263,1,0,0,0,0
Childress County,1127,0,1,0,0,0
Chilton County,8567,0,0,0,2,0
Chippewa County,7044,0,0,0,1,0
Chisago County,4052,0,0,0,1,0
Chittenden County,17979,0,0,1,2,0
Choctaw County,4109,0,0,0,1,0
Christian County,15221,0,0,0,1,0
Christian County,8703,0,0,0,1,0
Cibola County,7548,0,1,0,0,0
Citrus County,23415,0,0,0,5,0
Clackamas County,38707,1,0,0,7,0
Claiborne Parish County,4874,1,0,0,0,0
Claiborne County,7235,0,0,0,0,0
Clallam County,10616,0,0,0,0,0
Clark County,13940,1,0,0,2,0
Clark County,272,0,0,0,1,0
Clark County,312522,14,20,0,27,3
Clark County,25399,0,0,0,2,0
Clark County,55925,2,2,0,6,1
Clark County,5129,0,0,0,2,0
Clarke County,44384,0,0,0,5,2
Clatsop County,6183,0,0,0,2,0
Clay County,3054,0,0,0,1,0
Clay County,19580,1,0,0,3,0
Clay County,4197,0,0,0,1,0
Clay County,21031,0,0,0,3,0
Clayton County,64210,2,0,0,1,0
Clear Creek County,937,0,0,0,1,0
Clearfield County,11773,0,0,0,1,0
Clearwater County,1070,0,0,0,1,0
Cleburne County,2775,0,0,0,1,0
Cleveland County,18736,0,1,0,2,0
Cleveland County,34818,0,0,0,2,0
Clinton County,6727,0,0,0,1,0
Coahoma County,9476,1,0,0,0,0
Coal County,1254,0,0,0,1,0
Cobb County,93566,7,1,0,4,0
Cochise County,21794,0,3,0,0,0
Cochran County,443,0,1,0,0,0
Cocke County,9233,0,0,0,3,0
Coconino County,31667,0,1,3,7,0
Coffee County,10403,0,0,0,1,0
Coffee County,11207,0,0,0,1,0
Colbert County,9763,1,0,0,2,0
Cole County,10182,0,0,0,2,0
Colfax County,2244,0,1,0,0,0
Colleton County,7781,1,0,0,0,0
Collier County,49178,0,2,0,1,0
Collin County,69049,1,1,0,3,0
Colonial Heights County,1649,1,0,0,0,0
Colquitt County,12309,0,1,0,0,0
Columbia County,6079,1,0,0,0,0
Columbia County,11558,0,0,0,0,0
Columbia County,11142,0,0,0,0,0
Columbia County,5265,0,0,0,1,0
Comanche County,21631,3,0,0,4,0
Contra Costa County,116691,6,5,0,5,1
Converse County,1212,0,1,0,1,0
Cook County,3976,1,0,0,0,0
Cook County,886651,42,10,0,5,0
Cooke County,5737,0,0,0,1,0
Coos County,4242,0,0,0,1,0
Coos County,11121,0,0,0,1,0
Copiah County,7574,1,0,0,0,0
Corson County,1848,0,0,1,0,0
Covington County,7583,0,0,0,1,0
Coweta County,17218,1,0,0,0,0
Cowley County,6329,0,0,0,1,0
Cowlitz County,17975,1,1,0,4,0
Craig County,2596,1,0,0,0,0
Craighead County,21119,0,0,0,3,0
Craven County,17349,0,0,0,1,0
Crawford County,12463,0,0,0,1,0
Crawford County,2088,0,0,0,1,0
Crawford County,5201,0,0,0,1,0
Crawford County,7052,0,0,0,1,0
Creek County,10383,0,0,0,2,0
Crenshaw County,2670,0,0,0,2,0
Crittenden County,13031,4,0,0,1,0
Crockett County,2772,1,0,0,1,0
Cullman County,15282,0,0,0,1,0
Culpeper County,4474,2,0,0,1,0
Cumberland County,1592,0,0,0,2,0
Cumberland County,32809,1,0,0,2,0
Cumberland County,55476,5,0,0,3,0
Cumberland County,27543,4,1,0,1,0
