State,County,WhitePerc
VA,Clarke County,90.8
MA,Dukes County,90.8
TX,Ward County,90.8
TX,Cochran County,90.8
TX,Tom Green County,90.8
WA,Skagit County,90.8
TX,Kleberg County,90.8
KY,Logan County,90.7
PA,Lancaster County,90.7
CA,Tehama County,90.7
KS,Lyon County,90.7
GA,Habersham County,90.7
CA,Amador County,90.7
VA,Buena Vista,90.7
MO,Butler County,90.7
MO,Saint Charles County,90.7
KY,Mason County,90.7
TX,Lavaca County,90.7
RI,Newport County,90.7
MI,Gogebic County,90.7
NY,Columbia County,90.6
KS,Graham County,90.6
CO,Lincoln County,90.6
ND,McLean County,90.6
IA,Linn County,90.6
WA,Adams County,90.6
TX,Gray County,90.6
FL,Hernando County,90.5
KS,Cherokee County,90.5
ND,Cass County,90.5
TX,Hale County,90.5
FL,Charlotte County,90.5
NV,Lander County,90.4
NM,Torrance County,90.4
TX,Knox County,90.4
KY,Hopkins County,90.4
NC,Davie County,90.4
OH,Madison County,90.4
MA,Bristol County,90.4
MO,Pike County,90.4
IA,Des Moines County,90.4
FL,Martin County,90.4
TX,Fayette County,90.4
AR,Lonoke County,90.4
FL,Nassau County,90.4
NC,Currituck County,90.4
NY,Greene County,90.4
CT,Tolland County,90.3
TX,Dawson County,90.3
AR,Saline County,90.3
IL,McDonough County,90.3
PA,Pike County,90.3
TN,Marshall County,90.3
TX,Garza County,90.2
MO,Audrain County,90.2
TX,Lampasas County,90.2
OR,Clackamas County,90.2
IN,Bartholomew County,90.2
PA,Cumberland County,90.2
TX,Henderson County,90.1
NV,Lyon County,90.1
OR,Lincoln County,90.1
OR,Lane County,90.1
OH,Warren County,90.1
NE,Johnson County,90.1
CA,Mariposa County,90.1
TX,Calhoun County,90.1
NV,Nye County,90.1
TX,Hartley County,90.1
ID,Nez Perce County,90.1
TX,Hill County,90.1
NV,Humboldt County,90
ND,Williams County,90
KS,Saline County,90
TN,Williamson County,90
ID,Lewis County,90
AR,Benton County,90
CA,Glenn County,90
VA,Bedford County,90
NY,Orleans County,90
TX,Refugio County,90
AK,Skagway Municipality,89.9
NV,Esmeralda County,89.9
TX,Hardeman County,89.9
IL,Johnson County,89.9
OK,Roger Mills County,89.9
WA,Pacific County,89.9
TX,Sabine County,89.8
MS,George County,89.8
AR,Poinsett County,89.8
MD,Queen Anne's County,89.8
CA,El Dorado County,89.8
NC,Randolph County,89.8
WA,Spokane County,89.8
FL,Monroe County,89.8
PA,York County,89.7
NC,Graham County,89.7
CA,Imperial County,89.7
OK,Woods County,89.7
NC,Carteret County,89.7
SD,Bon Homme County,89.7
IN,Elkhart County,89.7
TX,Jackson County,89.7
VA,Galax,89.7
FL,Collier County,89.7
FL,Sumter County,89.6
TX,Montgomery County,89.6
NC,Buncombe County,89.6
NM,Valencia County,89.6
TN,Lincoln County,89.6
MI,Cass County,89.6
OR,Marion County,89.6
MO,Cooper County,89.6
KY,Trigg County,89.6
MO,Buchanan County,89.6
KY,Todd County,89.6
NE,Sarpy County,89.5
MN,Carlton County,89.5
SC,Oconee County,89.5
NV,Carson City,89.5
TX,Leon County,89.5
TN,Sumner County,89.5
FL,Saint Johns County,89.5
TN,Robertson County,89.5
MO,Saline County,89.5
MO,Johnson County,89.4
IN,Hendricks County,89.4
ND,Ward County,89.4
KS,Finney County,89.4
TN,Henderson County,89.4
TN,Wilson County,89.4
MN,Redwood County,89.4
FL,Walton County,89.4
CT,Middlesex County,89.4
WA,Stevens County,89.4
PA,Bucks County,89.4
TX,Victoria County,89.4
SC,Pickens County,89.4
KY,Henderson County,89.4
TX,Hall County,89.4
WV,McDowell County,89.4
FL,Pasco County,89.4
ID,Bingham County,89.4
FL,Holmes County,89.4
TN,Henry County,89.3
OH,Fairfield County,89.3
OR,Klamath County,89.3
VA,Norton,89.3
CO,Huerfano County,89.3
IL,Logan County,89.3
MD,Cecil County,89.3
CO,La Plata County,89.2
OK,Texas County,89.2
IN,Delaware County,89.2
NE,Dawes County,89.2
KS,Chautauqua County,89.2
KS,Cowley County,89.2
MO,McDonald County,89.1
KS,Seward County,89.1
IN,Grant County,89.1
NM,Los Alamos County,89
TX,Gonzales County,89
TX,Fannin County,89
TX,Collingsworth County,89
KY,Marion County,89
TX,Hopkins County,89
TX,Karnes County,89
GA,Cherokee County,89
CA,San Luis Obispo County,89
GA,Oconee County,89
OH,Delaware County,89
AR,Sevier County,89
WI,Shawano County,88.9
KY,Boyle County,88.9
TX,Midland County,88.9
MI,Isabella County,88.9
IN,Clark County,88.9
WI,Brown County,88.9
OK,Dewey County,88.9
MA,Hampshire County,88.9
TX,Caldwell County,88.9
MT,Cascade County,88.9
PA,Union County,88.9
CA,Modoc County,88.9
WV,Kanawha County,88.9
IA,Woodbury County,88.9
CO,Broomfield County,88.8
OK,Alfalfa County,88.8
ND,Grand Forks County,88.8
TN,Weakley County,88.8
MD,Allegany County,88.8
OH,Trumbull County,88.8
SD,Gregory County,88.8
GA,Jackson County,88.8
WV,Raleigh County,88.7
KY,Hickman County,88.7
PA,Berks County,88.7
IN,Madison County,88.7
PA,Centre County,88.7
TX,Dickens County,88.7
SD,Beadle County,88.7
GA,Echols County,88.7
IN,Howard County,88.6
OH,Stark County,88.6
KS,Labette County,88.6
SD,Stanley County,88.6
NV,Elko County,88.6
VA,Greene County,88.6
KY,Shelby County,88.6
ID,Elmore County,88.6
TX,Bee County,88.6
IL,Perry County,88.6
WV,Jefferson County,88.6
NY,Chemung County,88.5
PA,Erie County,88.5
CA,Shasta County,88.5
WI,Jackson County,88.5
UT,Salt Lake County,88.5
VA,Salem,88.5
IL,Madison County,88.5
FL,Hardee County,88.5
FL,Dixie County,88.5
TX,Howard County,88.5
TX,Rockwall County,88.4
MA,Nantucket County,88.4
TX,Swisher County,88.4
OK,Beckham County,88.4
WV,Berkeley County,88.4
MO,Cape Girardeau County,88.4
NE,Lancaster County,88.4
CA,San Benito County,88.4
UT,Uintah County,88.4
CA,Tulare County,88.3
SD,Minnehaha County,88.3
PA,Northampton County,88.3
CO,Costilla County,88.3
IL,Knox County,88.3
IA,Tama County,88.3
TX,Grayson County,88.3
WA,Mason County,88.3
NY,Niagara County,88.3
IN,Vigo County,88.2
OR,Benton County,88.2
IA,Story County,88.2
SD,Day County,88.2
MO,Clay County,88.2
SD,Hyde County,88.2
IN,Hamilton County,88.2
NY,Ulster County,88.1
MI,Eaton County,88.1
IL,Lawrence County,88.1
IL,Randolph County,88.1
NM,Taos County,88
WA,Yakima County,88
NE,Knox County,87.9
CA,Trinity County,87.9
GA,Glascock County,87.9
NY,Jefferson County,87.9
IL,Jefferson County,87.9
AL,Saint Clair County,87.9
AZ,Cochise County,87.9
GA,Pierce County,87.8
CO,Alamosa County,87.8
SD,Marshall County,87.8
TX,Orange County,87.8
MI,Jackson County,87.8
MS,Hancock County,87.8
WA,Clallam County,87.8
TX,Upshur County,87.8
TN,Trousdale County,87.8
VA,Gloucester County,87.8
SD,Fall River County,87.7
GA,Madison County,87.7
TN,Chester County,87.7
AR,Garland County,87.7
CA,Lake County,87.7
CA,Santa Cruz County,87.7
WI,Kenosha County,87.7
TX,DeWitt County,87.7
MN,Becker County,87.7
WA,Grays Harbor County,87.7
VA,Mathews County,87.7
IL,Kendall County,87.6
OH,Richland County,87.6
TX,Cottle County,87.6
KS,Johnson County,87.5
NY,Rensselaer County,87.5
TX,Austin County,87.5
MA,Worcester County,87.5
MN,Washington County,87.4
NV,Pershing County,87.4
IL,DeKalb County,87.4
FL,Okeechobee County,87.4
MO,Platte County,87.4
CA,Sonoma County,87.4
GA,Pike County,87.3
AR,Washington County,87.3
VA,Fauquier County,87.3
GA,Franklin County,87.3
WA,Whatcom County,87.3
NY,Broome County,87.3
NC,Rutherford County,87.3
TX,Chambers County,87.3
GA,Hall County,87.3
WA,Clark County,87.3
IN,Monroe County,87.3
OH,Erie County,87.3
FL,Indian River County,87.3
TX,Trinity County,87.3
VA,Madison County,87.2
CA,Siskiyou County,87.2
MI,Lake County,87.2
TN,Bedford County,87.2
MT,Phillips County,87.2
FL,Levy County,87.2
VA,Montgomery County,87.2
TN,Obion County,87.1
AL,Baldwin County,87.1
AL,Lamar County,87.1
FL,Santa Rosa County,87.1
OH,Clark County,87.1
TX,Bastrop County,87.1
MO,Dunklin County,87.1
AL,Geneva County,87.1
MT,Valley County,87.1
AL,Chilton County,87.1
TN,Carroll County,87
TX,Lubbock County,87
TX,Ellis County,87
KY,Simpson County,87
SD,Brule County,87
MN,Scott County,87
TX,Childress County,87
IL,Kane County,87
TX,Hunt County,87
NY,Oneida County,87
CO,Adams County,87
FL,Lee County,87
MN,Cook County,86.9
NC,Davidson County,86.9
OK,Jefferson County,86.9
NV,White Pine County,86.8
MI,Schoolcraft County,86.8
TX,Guadalupe County,86.8
MN,Anoka County,86.8
IL,Stephenson County,86.8
OH,Lorain County,86.8
VA,Hanover County,86.7
TX,Milam County,86.7
AL,Lauderdale County,86.7
AR,Prairie County,86.7
KS,Jackson County,86.7
IA,Scott County,86.7
PA,Chester County,86.7
OK,Stephens County,86.7
ND,Ramsey County,86.7
TX,Taylor County,86.6
ID,Benewah County,86.6
MA,Essex County,86.6
TX,Wilbarger County,86.6
AR,Cleveland County,86.6
CA,Butte County,86.6
GA,Berrien County,86.6
GA,Chattooga County,86.6
OH,Greene County,86.6
MO,DeKalb County,86.6
TX,Delta County,86.5
CO,Bent County,86.5
IN,Vanderburgh County,86.5
TN,Giles County,86.5
OH,Butler County,86.5
IA,Polk County,86.5
WI,Vilas County,86.5
FL,Manatee County,86.4
NC,Burke County,86.4
GA,Heard County,86.4
OK,McClain County,86.4
NE,Dakota County,86.4
TN,Knox County,86.3
CA,Mendocino County,86.3
OK,Grady County,86.3
WA,Island County,86.3
MA,Plymouth County,86.3
MN,Dakota County,86.2
MN,Nobles County,86.2
TX,San Jacinto County,86.2
IA,Black Hawk County,86.2
AL,Fayette County,86.2
MN,Clearwater County,86.2
TX,Tyler County,86.1
NM,Curry County,86.1
WI,Dane County,86.1
WI,Bayfield County,86.1
CA,Marin County,86
VA,Radford,86
CA,Madera County,86
AK,Denali Borough,86
OK,Garfield County,85.9
ND,Dunn County,85.9
CA,Placer County,85.9
CA,Santa Barbara County,85.9
IA,Buena Vista County,85.9
KS,Brown County,85.8
MO,Scott County,85.7
MN,Olmsted County,85.7
MS,Alcorn County,85.7
TX,Liberty County,85.7
KY,McCracken County,85.6
IA,Jefferson County,85.6
AR,Hot Spring County,85.6
OK,Lincoln County,85.6
GA,Bartow County,85.6
FL,Highlands County,85.6
MI,Alger County,85.5
NE,Sheridan County,85.5
TX,Moore County,85.5
IN,LaPorte County,85.5
TX,Lee County,85.5
AZ,Pima County,85.5
IN,Tippecanoe County,85.4
NC,Brunswick County,85.4
IA,Johnson County,85.4
TX,Kaufman County,85.4
NV,Washoe County,85.3
NV,Churchill County,85.2
NY,Sullivan County,85.2
KS,Montgomery County,85.2
NY,Suffolk County,85.2
VA,Powhatan County,85.2
TX,Bexar County,85.2
GA,Forsyth County,85.2
NC,Jackson County,85.2
WA,Whitman County,85.1
GA,Stephens County,85.1
MN,Cass County,85
KS,Leavenworth County,85
LA,La Salle Parish,85
AR,Conway County,85
NM,Bernalillo County,84.9
SD,Hughes County,84.9
CA,Ventura County,84.8
TX,Titus County,84.8
CA,Napa County,84.8
TN,Maury County,84.7
KY,Warren County,84.7
NC,Stanly County,84.7
OK,Greer County,84.7
PA,Lehigh County,84.7
IL,Rock Island County,84.7
NJ,Monmouth County,84.7
NC,Catawba County,84.7
AR,Faulkner County,84.6
VA,Lexington,84.6
FL,Lake County,84.6
OK,Harmon County,84.6
OK,Canadian County,84.5
KY,Franklin County,84.5
MO,Cole County,84.5
FL,Volusia County,84.5
AK,Kenai Peninsula Borough,84.5
VA,Nelson County,84.4
IL,McLean County,84.4
KS,Shawnee County,84.4
MS,Pearl River County,84.4
AZ,Maricopa County,84.4
MD,Washington County,84.4
AL,Covington County,84.3
OK,Noble County,84.3
KS,Douglas County,84.3
OK,Love County,84.3
LA,St. Tammany Parish,84.3
KY,Union County,84.3
MS,Prentiss County,84.2
NJ,Morris County,84.2
WI,Racine County,84.2
WI,Ashland County,84.2
VA,Harrisonburg,84.1
TX,Polk County,84.1
OK,Custer County,84.1
CA,Stanislaus County,84.1
TX,Mitchell County,84.1
KS,Riley County,84
AL,Shelby County,84
CA,Humboldt County,84
TX,Burleson County,84
CO,Crowley County,84
NY,Franklin County,83.9
CT,New London County,83.9
NJ,Gloucester County,83.9
OK,Jackson County,83.9
FL,Baker County,83.9
NM,Otero County,83.9
VA,Staunton,83.8
AK,Matanuska-Susitna Borough,83.8
WV,Gilmer County,83.8
FL,Brevard County,83.8
OH,Allen County,83.7
FL,Flagler County,83.7
VA,Covington,83.7
VA,Waynesboro,83.7
CO,El Paso County,83.7
GA,Polk County,83.6
MA,Hampden County,83.6
TX,Williamson County,83.6
TX,Wharton County,83.6
FL,DeSoto County,83.5
SD,Pennington County,83.5
TX,Matagorda County,83.5
AL,Morgan County,83.5
TX,Colorado County,83.5
FL,Suwannee County,83.5
TN,Crockett County,83.4
WA,Kitsap County,83.3
MI,Kent County,83.3
MD,Talbot County,83.3
IL,Sangamon County,83.2
OK,Kiowa County,83.2
AZ,Pinal County,83.2
NC,Union County,83.2
TX,Jones County,83.2
FL,Pinellas County,83.1
CO,Montezuma County,83.1
NC,Iredell County,83.1
IL,Vermilion County,83.1
MI,Calhoun County,83
TX,Wichita County,83
MI,Macomb County,82.9
FL,Marion County,82.9
AR,Sebastian County,82.9
WA,Thurston County,82.9
TN,Dyer County,82.9
VA,Franklin County,82.8035
MS,Union County,82.8
MD,Frederick County,82.8
NC,Moore County,82.8
AL,Clay County,82.8
MD,Worcester County,82.7
OK,Tillman County,82.7
GA,Effingham County,82.7
FL,Franklin County,82.7
CA,Kern County,82.7
VA,Orange County,82.6
MO,Boone County,82.6
SD,Tripp County,82.6
CA,Monterey County,82.6
FL,Lafayette County,82.5
DE,Sussex County,82.5
FL,Clay County,82.4
OK,Logan County,82.4
SC,Horry County,82.4
WA,Okanogan County,82.4
FL,Bay County,82.4
SD,Walworth County,82.3
MT,Pondera County,82.3
VA,Campbell County,82.3
IL,Lake County,82.3
OK,Garvin County,82.3
VA,Albemarle County,82.3
OR,Washington County,82.2
MS,Pontotoc County,82.2
AR,Craighead County,82.2
NC,Chatham County,82.2
NC,Camden County,82.2
NY,Dutchess County,82.1
MI,Kalamazoo County,82.1
GA,Jeff Davis County,82
FL,Hendry County,82
CA,Merced County,82
AL,Limestone County,82
LA,Beauregard Parish,82
VA,New Kent County,81.9
GA,Barrow County,81.8
FL,Calhoun County,81.8
MD,Calvert County,81.8
VA,Winchester,81.8
NY,Orange County,81.8
MD,Kent County,81.8
FL,Okaloosa County,81.7
ND,McKenzie County,81.7
LA,West Carroll Parish,81.6
CA,Lassen County,81.6
MO,New Madrid County,81.6
NJ,Salem County,81.6
VA,Fluvanna County,81.5
NM,Socorro County,81.5
NY,Tompkins County,81.5
SD,Moody County,81.5
TX,Navarro County,81.5
MD,Caroline County,81.5
TX,Lamar County,81.4
FL,Wakulla County,81.4
CA,Inyo County,81.4
IL,Winnebago County,81.4
OK,Cotton County,81.4
NC,New Hanover County,81.3
WI,Forest County,81.3
NE,Douglas County,81.3
MS,Tippah County,81.3
CA,Kings County,81.3
OK,Kay County,81.3
AL,Etowah County,81.2
IL,Kankakee County,81.2
TX,Angelina County,81.2
OK,Marshall County,81.2
MI,Muskegon County,81.1
IN,Saint Joseph County,81.1
AZ,Graham County,81.1
LA,Caldwell Parish,81.1
LA,Vermilion Parish,81.1
TX,Potter County,81.1
OK,Blaine County,81.1
IL,DuPage County,81.1
PA,Montgomery County,81
TX,Panola County,81
KS,Sedgwick County,81
PA,Allegheny County,81
GA,Bacon County,81
GA,Floyd County,80.9
OH,Mahoning County,80.9
IN,Allen County,80.9
TX,Cherokee County,80.9
MA,Middlesex County,80.9
MA,Norfolk County,80.9
OK,Payne County,80.9
NY,Onondaga County,80.9
AL,Colbert County,80.8
KY,Hardin County,80.7
TX,Travis County,80.7
SC,Lexington County,80.7
CO,Denver County,80.7
MD,Harford County,80.7
VA,Falls Church,80.6
VA,James City County,80.6
LA,Lafourche Parish,80.6
TX,Jasper County,80.6
SC,Anderson County,80.6
FL,Seminole County,80.6
LA,Grant Parish,80.6
IL,Will County,80.6
OR,Multnomah County,80.5
CA,Riverside County,80.5
TX,Brazos County,80.4
NC,Johnston County,80.4
TX,Grimes County,80.4
TX,McLennan County,80.3
FL,Putnam County,80.3
NY,Erie County,80.3
NC,Gaston County,80.2
TX,Cass County,80.2
WA,Snohomish County,80.2
AZ,Gila County,80.2
TX,Galveston County,80.1
NC,Rowan County,80.1
OK,Creek County,80
OK,Cleveland County,80
FL,Osceola County,80
VA,Louisa County,80
AK,Southeast Fairbanks Census Area,80
FL,Washington County,80
MI,Luce County,79.9
GA,Harris County,79.9
OH,Summit County,79.9
LA,Jefferson Davis Parish,79.9
CT,Fairfield County,79.8
VA,Colonial Heights,79.8
NY,Schenectady County,79.8
TN,Rutherford County,79.7
FL,Polk County,79.7
NC,Pender County,79.7
RI,Providence County,79.7
MI,Berrien County,79.7
TX,Freestone County,79.7
LA,Acadia Parish,79.6
GA,Walton County,79.6
VA,Middlesex County,79.6
AR,Jackson County,79.6
TN,Gibson County,79.5
GA,Oglethorpe County,79.5
PA,Forest County,79.4
CA,Yuba County,79.4
PA,Monroe County,79.4
VA,Goochland County,79.3
OK,Pawnee County,79.3
TX,Denton County,79.3
NM,Sandoval County,79.2
TX,Shelby County,79.2
MD,Saint Mary's County,79.1
AK,Haines Borough,79.1
TX,Red River County,79
GA,Bryan County,78.9
TX,Rusk County,78.9
VA,Culpeper County,78.9
IL,Macon County,78.9
CT,New Haven County,78.8
MS,Webster County,78.7
TX,Camp County,78.7
FL,Glades County,78.7
CA,Del Norte County,78.6
WI,Sawyer County,78.6
OK,Washington County,78.5
TX,Washington County,78.5
TX,Limestone County,78.5
IL,Brown County,78.5
GA,Paulding County,78.4
NM,Rio Arriba County,78.4
GA,Hart County,78.4
KY,Fayette County,78.3
CO,Arapahoe County,78.3
MS,Stone County,78.2
FL,Bradford County,78.2
TX,Smith County,78.1
TN,Tipton County,78.1
AL,Lawrence County,78.1
NC,Rockingham County,78.1
OK,Murray County,78.1
FL,Columbia County,78
FL,Gulf County,78
FL,Miami-Dade County,77.9
AK,Petersburg Borough,77.9
MS,Perry County,77.9
AL,Autauga County,77.9
VA,King William County,77.9
MO,Pulaski County,77.8
GA,Appling County,77.8
IL,Jackson County,77.7
NY,Rockland County,77.7
GA,Coweta County,77.7
OK,Le Flore County,77.7
NY,Albany County,77.6
VA,Appomattox County,77.6
AL,Randolph County,77.6
LA,Vernon Parish,77.5
TX,Brazoria County,77.5
NC,Cabarrus County,77.4
GA,Carroll County,77.3
VA,Amherst County,77.3
NY,Monroe County,77.3
TX,Nacogdoches County,77.3
VA,King George County,77.3
CA,San Bernardino County,77.3
AK,Fairbanks North Star Borough,77.3
VA,Spotsylvania County,77.3
CA,Fresno County,77.2
MS,Rankin County,77.2
SC,Beaufort County,77.1
MI,Ingham County,77.1
VA,York County,77.1
AZ,La Paz County,77.1
NC,Montgomery County,77.1
NY,Richmond County,77.1
NC,Pamlico County,77
FL,Liberty County,77
MT,Chouteau County,77
GA,Atkinson County,77
OK,Wagoner County,76.9
GA,Schley County,76.9
TX,Newton County,76.9
SC,Greenville County,76.9
VA,Roanoke County,76.8554
NC,Orange County,76.8
CT,Hartford County,76.8
VA,Arlington County,76.6
OK,Bryan County,76.6
NC,Onslow County,76.6
MI,Saginaw County,76.6
SC,Cherokee County,76.5
WA,Ferry County,76.5
MI,Oakland County,76.5
AL,Coffee County,76.4
MS,Lamar County,76.4
VA,Pittsylvania County,76.3
OK,Pottawatomie County,76.3
CA,San Diego County,76.3
AL,Bibb County,76.3
GA,Crawford County,76.2
GA,Wayne County,76.2
NY,Nassau County,76.1
WA,Pierce County,76.1
NC,Cleveland County,76.1
FL,Palm Beach County,76.1
MD,Anne Arundel County,76.1
GA,Jasper County,76
AL,Elmore County,76
TX,Madison County,76
TX,Robertson County,76
OK,Rogers County,75.9
CA,Yolo County,75.9
MN,Hennepin County,75.9
SC,York County,75.9
AR,Howard County,75.8
FL,Taylor County,75.8
AL,Calhoun County,75.8
OK,Carter County,75.8
AR,Little River County,75.7
AR,Calhoun County,75.7
TN,Hamilton County,75.6
NC,Alamance County,75.5
OK,Pushmataha County,75.5
MS,Smith County,75.5
OR,Jefferson County,75.5
GA,Columbia County,75.4
MI,Mackinac County,75.4
NJ,Passaic County,75.4
VA,Henry County,75.3
OH,Lucas County,75.3
FL,Hillsborough County,75.3
TX,Anderson County,75.2
AL,Dale County,75.2
TX,Tarrant County,75.2
NC,Lee County,75.2
TX,Gregg County,75.2
MI,Genesee County,75.2
GA,Lee County,75.1
VA,Williamsburg,75.1
FL,Saint Lucie County,75.1
GA,Camden County,75
OK,Haskell County,75
AR,Cross County,74.9
IL,Peoria County,74.9
VA,Amelia County,74.8
WY,Fremont County,74.7
FL,Union County,74.7
TX,San Augustine County,74.7
MI,Washtenaw County,74.6
SC,Lancaster County,74.6
SC,Spartanburg County,74.5
OK,Atoka County,74.4
NJ,Burlington County,74.4
TX,Coryell County,74.4
NY,Westchester County,74.4
NJ,Bergen County,74.4
MN,Beltrami County,74.3
TX,Collin County,74.2
PA,Dauphin County,74.1
LA,Ascension Parish,74.1
OH,Montgomery County,74
CA,Sutter County,74
VA,Stafford County,74
AK,Valdez-Cordova Census Area,74
GA,Morgan County,74
TX,Harrison County,73.9
TX,Marion County,73.9
GA,Monroe County,73.9
IL,Champaign County,73.8
VA,Manassas,73.7
OK,Tulsa County,73.7
MI,Baraga County,73.6
MO,Mississippi County,73.6
OK,Johnston County,73.5
CA,Orange County,73.5
AR,Clark County,73.4
TX,Walker County,73.4
LA,Bossier Parish,73.4
KY,Jefferson County,73.4
VA,Northumberland County,73.4
OK,Pittsburg County,73.3
MS,Jackson County,73.3
NC,Perquimans County,73.2
GA,Candler County,73.2
GA,Colquitt County,73.1
TX,Morris County,73.1
OK,Coal County,73.1
KY,Christian County,73
GA,Jones County,73
MT,Hill County,72.7
VA,Isle of Wight County,72.7
AR,Arkansas County,72.6
KY,Fulton County,72.4
TN,Montgomery County,72.4
LA,Union Parish,72.3
GA,Chattahoochee County,72.2
NC,Craven County,72.2
NV,Clark County,72.2
GA,Lanier County,72.1
NJ,Cumberland County,72.1
SC,Kershaw County,72.1
LA,St. Bernard Parish,72.1
NC,Harnett County,72.1
MS,Lafayette County,72
AL,Crenshaw County,72
MS,DeSoto County,71.9
AR,Ashley County,71.9
TX,Houston County,71.9
SC,Laurens County,71.8
TX,Falls County,71.8
NC,Beaufort County,71.8
AR,Miller County,71.7
LA,Allen Parish,71.7
LA,Terrebonne Parish,71.7
MI,Chippewa County,71.6
NV,Mineral County,71.6
MS,Greene County,71.5
OK,Oklahoma County,71.4
GA,Montgomery County,71.4
SC,Aiken County,71.4
CA,Los Angeles County,71.3
NJ,Atlantic County,71.3
GA,Irwin County,71.3
LA,Plaquemines Parish,71.2
NJ,Somerset County,71.2
PA,Delaware County,71.1
LA,Calcasieu Parish,71
TX,Bowie County,71
MO,Pemiscot County,71
GA,Fayette County,70.9
AL,Lee County,70.9
GA,Bleckley County,70.9
IN,Lake County,70.9
GA,Toombs County,70.8
OK,Pontotoc County,70.8
VA,Loudoun County,70.7
AR,Woodruff County,70.7
TN,Fayette County,70.6
AL,Tallapoosa County,70.6
FL,Alachua County,70.6
AK,Wrangell City and Borough,70.6
LA,St. Charles Parish,70.5
TX,Waller County,70.5
MS,Calhoun County,70.5
TX,Harris County,70.5
AL,Henry County,70.4
MO,Jackson County,70.4
GA,Putnam County,70.4
OK,McIntosh County,70.3
CA,Alpine County,70.3
LA,Sabine Parish,70.3
LA,Lafayette Parish,70.2
GA,Butts County,70.2
NC,Duplin County,70.2
WA,King County,70.1
NJ,Camden County,70.1
MN,Ramsey County,70.1
AL,Houston County,70
FL,Escambia County,69.9
NC,Person County,69.9
MO,Saint Louis County,69.9
VA,Charlottesville,69.9
AK,Juneau City and Borough,69.9
VA,Lancaster County,69.9
OH,Franklin County,69.8
GA,Cook County,69.8
NC,Franklin County,69.8
VA,Chesterfield County,69.8
FL,Jackson County,69.8
MS,Harrison County,69.8
OK,Ottawa County,69.7
LA,Evangeline Parish,69.7
SC,Abbeville County,69.7
SC,Saluda County,69.7
KS,Geary County,69.6
AR,Drew County,69.6
GA,Glynn County,69.5
GA,Upson County,69.5
TN,Lake County,69.4
VA,Manassas Park,69.4
GA,Coffee County,69.4
AL,Madison County,69.4
GA,Miller County,69.4
GA,Worth County,69.2
OK,Nowata County,69.2
FL,Orange County,69
MS,Lee County,69
OH,Hamilton County,69
NC,Wake County,69
GA,Clinch County,69
LA,Jackson Parish,69
SC,Berkeley County,68.9
OK,Latimer County,68.9
VA,Accomack County,68.8
SC,Dorchester County,68.8
ND,Mountrail County,68.7
MD,Wicomico County,68.7
MS,Jones County,68.7
MS,Choctaw County,68.6
VA,Virginia Beach,68.6
VA,Westmoreland County,68.5
VA,Charlotte County,68.5
VA,Fredericksburg,68.4
AK,Ketchikan Gateway Borough,68.4
NJ,Union County,68.4
VA,King and Queen County,68.4
AR,Bradley County,68.3
GA,Long County,68.3
OK,Seminole County,68.3
DE,Kent County,68.3
LA,Assumption Parish,68.2
GA,Elbert County,68.2
MT,Lake County,68.2
GA,Tattnall County,68.1
CA,San Joaquin County,68.1
TX,Dallas County,68
GA,Dodge County,68
NC,Hyde County,68
MD,Dorchester County,68
OK,Mayes County,67.9
MS,Monroe County,67.8
MS,Lincoln County,67.7
TX,Bell County,67.7
SC,Charleston County,67.7
OK,Hughes County,67.7
AR,Lincoln County,67.7
LA,Washington Parish,67.6
NC,Forsyth County,67.5
NC,Sampson County,67.4
GA,Grady County,67.4
CA,Contra Costa County,67.3
GA,Ware County,67.3
LA,Tangipahoa Parish,67.2
OK,McCurtain County,67.2
AR,Nevada County,67.1
DE,New Castle County,67.1
OK,Delaware County,67.1
VA,Caroline County,67
AK,Sitka City and Borough,67
MS,Lawrence County,67
GA,Bulloch County,67
KS,Wyandotte County,66.9
AR,Hempstead County,66.8
LA,Avoyelles Parish,66.8
VA,Fairfax County,66.7412
LA,St. Martin Parish,66.7
LA,Winn Parish,66.7
OK,Sequoyah County,66.7
OK,Craig County,66.7
MS,Tate County,66.7
GA,Lincoln County,66.6
GA,Tift County,66.6
OK,Osage County,66.4
OK,Comanche County,66.4
LA,Catahoula Parish,66.4
LA,Franklin Parish,66.4
VA,Alexandria,66.4
AZ,Coconino County,66.4
IN,Marion County,66.3
LA,Jefferson Parish,66.3
SC,Union County,66.2
GA,Treutlen County,66.1
AK,Anchorage Municipality,66.1
AL,Coosa County,66.1
AL,Tuscaloosa County,66
AL,Washington County,66
MS,Marion County,66
NC,Jones County,65.9
IL,Cook County,65.8
NJ,Hudson County,65.8
VA,Lynchburg,65.7
OK,Okmulgee County,65.7
NC,Swain County,65.7
IL,Saint Clair County,65.7
GA,Lamar County,65.7
TN,Davidson County,65.6
GA,Pulaski County,65.6
GA,Evans County,65.5
SC,Newberry County,65.5
NJ,Mercer County,65.5
GA,Clarke County,65.5
SC,Georgetown County,65.5
WI,Milwaukee County,65.3
AL,Talladega County,65.2
SC,Greenwood County,65.1
GA,Charlton County,65
OK,Caddo County,65
FL,Broward County,64.9
VA,Cumberland County,64.8
NC,Granville County,64.7
NY,New York County,64.7
IL,Pulaski County,64.7
MS,Carroll County,64.7
VA,Dinwiddie County,64.6
GA,Cobb County,64.6
CA,Sacramento County,64.6
GA,Seminole County,64.6
