County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Carroll County,37762,0,0,0,1,0
Carroll County,6128,0,0,0,1,0
Carson City County,11177,0,0,0,4,0
Carson County,1515,0,0,0,0,1
Carter County,6152,0,0,0,1,0
Carter County,12449,0,0,0,2,0
Carter County,10865,0,0,0,2,0
Carver County,27157,0,0,0,2,0
Cascade County,18610,0,0,1,4,0
Cass County,9264,1,0,0,0,0
Cass County,6026,0,0,0,1,0
Cass County,25222,0,0,0,2,0
Cass County,36908,0,0,0,1,0
Cass County,6279,0,0,0,1,0
Cass County,6809,0,0,0,1,0
Catawba County,35543,1,0,0,3,0
Catoosa County,15487,0,0,0,1,0
Cecil County,24162,1,0,0,5,0
Centre County,24446,1,0,0,0,0
Chambers County,10566,0,0,0,1,0
Champaign County,39770,1,0,0,0,0
Charles County,38532,0,0,0,0,1
Charleston County,76965,4,0,0,4,0
Charlevoix County,5303,0,0,0,1,0
Charlotte County,21902,0,0,0,2,0
Charlottesville County,7113,1,0,0,0,0
Chatham County,62910,6,0,0,2,0
Chautauqua County,27599,0,0,0,1,0
Chaves County,17919,0,0,0,2,0
Cheatham County,9384,0,0,0,2,0
Chelan County,18050,0,0,0,1,0
Chemung County,19134,0,0,0,2,0
Cherokee County,60056,0,0,0,1,0
Cherokee County,11167,1,0,1,4,0
Cherokee County,13390,0,0,0,1,0
Cherokee County,13031,0,0,0,1,0
Chesapeake County,57176,2,0,0,0,0
Chester County,120504,1,0,0,0,0
Chester County,7438,1,0,0,1,0
Chesterfield County,10609,0,0,0,1,0
Chesterfield County,81130,0,0,0,2,0
Cheyenne County,2446,0,0,0,1,0
Chickasaw County,2919,1,0,0,0,0
Childress County,1482,0,1,0,0,0
Chilton County,10631,0,0,0,2,0
Chippewa County,14405,0,0,0,1,0
Chisago County,12750,0,0,0,1,0
Chittenden County,30019,0,0,1,2,0
Choctaw County,3714,0,0,0,1,0
Christian County,20567,0,0,0,1,0
Christian County,21428,0,0,0,1,0
Cibola County,6701,0,1,0,0,0
Citrus County,20907,0,0,0,5,0
Clackamas County,87684,1,0,0,7,0
Claiborne Parish County,3020,1,0,0,0,0
Claiborne County,6192,0,0,0,0,0
Clallam County,12871,0,0,0,0,0
Clark County,26280,1,0,0,2,0
Clark County,581,0,0,0,1,0
Clark County,492584,14,20,0,27,3
Clark County,31134,0,0,0,2,0
Clark County,113654,2,2,0,6,1
Clark County,10086,0,0,0,2,0
Clarke County,21285,0,0,0,5,2
Clatsop County,7345,0,0,0,2,0
Clay County,3084,0,0,0,1,0
Clay County,48351,1,0,0,3,0
Clay County,6136,0,0,0,1,0
Clay County,58421,0,0,0,3,0
Clayton County,75714,2,0,0,1,0
Clear Creek County,1415,0,0,0,1,0
Clearfield County,15102,0,0,0,1,0
Clearwater County,1396,0,0,0,1,0
Cleburne County,3514,0,0,0,1,0
Cleveland County,21648,0,1,0,2,0
Cleveland County,60189,0,0,0,2,0
Clinton County,10908,0,0,0,1,0
Coahoma County,6847,1,0,0,0,0
Coal County,1388,0,0,0,1,0
Cobb County,179821,7,1,0,4,0
Cochise County,28548,0,3,0,0,0
Cochran County,831,0,1,0,0,0
Cocke County,7393,0,0,0,3,0
Coconino County,30015,0,1,3,7,0
Coffee County,10574,0,0,0,1,0
Coffee County,12816,0,0,0,1,0
Colbert County,11836,1,0,0,2,0
Cole County,17532,0,0,0,2,0
Colfax County,2409,0,1,0,0,0
Colleton County,8687,1,0,0,0,0
Collier County,63826,0,2,0,1,0
Collin County,240786,1,1,0,3,0
Colonial Heights County,4096,1,0,0,0,0
Colquitt County,12355,0,1,0,0,0
Columbia County,5170,1,0,0,0,0
Columbia County,36207,0,0,0,0,0
Columbia County,12082,0,0,0,0,0
Columbia County,12682,0,0,0,1,0
Comanche County,30258,3,0,0,4,0
Contra Costa County,260053,6,5,0,5,1
Converse County,3482,0,1,0,1,0
Cook County,4579,1,0,0,0,0
Cook County,1185699,42,10,0,5,0
Cooke County,9380,0,0,0,1,0
Coos County,5603,0,0,0,1,0
Coos County,11558,0,0,0,1,0
Copiah County,6796,1,0,0,0,0
Corson County,1447,0,0,1,0,0
Covington County,8379,0,0,0,1,0
Coweta County,34842,1,0,0,0,0
Cowley County,8595,0,0,0,1,0
Cowlitz County,23388,1,1,0,4,0
Craig County,3193,1,0,0,0,0
Craighead County,25527,0,0,0,3,0
Craven County,23515,0,0,0,1,0
Crawford County,15486,0,0,0,1,0
Crawford County,2387,0,0,0,1,0
Crawford County,5793,0,0,0,1,0
Crawford County,9346,0,0,0,1,0
Creek County,17093,0,0,0,2,0
Crenshaw County,3173,0,0,0,2,0
Crittenden County,13824,4,0,0,1,0
Crockett County,3594,1,0,0,1,0
Cullman County,18290,0,0,0,1,0
Culpeper County,12488,2,0,0,1,0
Cumberland County,1443,0,0,0,2,0
Cumberland County,56408,1,0,0,2,0
Cumberland County,84193,5,0,0,3,0
Cumberland County,37459,4,1,0,1,0
Cumberland County,10611,0,0,0,1,0
Curry County,13762,0,1,0,0,0
Custer County,2500,0,0,0,1,0
Cuyahoga County,270863,12,0,0,6,1
Dade County,1610,0,0,0,0,0
Dakota County,103132,0,0,0,4,1
Dakota County,6047,0,1,0,0,0
Dale County,11678,0,0,0,2,0
Dallam County,2283,0,0,0,1,0
Dallas County,10511,1,0,0,0,0
Dallas County,1729,0,0,0,1,0
Dallas County,3819,0,0,0,1,0
Dallas County,677514,13,8,0,14,1
Dane County,108936,1,0,0,2,0
Danville County,9465,2,0,0,0,0
Darlington County,15662,1,0,0,2,0
Dauphin County,61077,3,0,0,1,0
Davidson County,37244,1,0,0,4,0
Davidson County,143695,4,1,0,3,0
Davie County,9074,0,0,0,1,0
Daviess County,23881,1,0,1,2,0
Davis County,109787,0,1,0,6,0
Davison County,4574,0,0,0,1,0
De Baca County,398,0,1,0,0,0
De Witt County,3517,0,0,0,1,0
DeKalb County,171152,4,1,0,4,0
DeKalb County,2132,0,0,0,1,0
DeKalb County,4355,0,0,0,1,0
DeSoto County,45634,2,1,0,2,0
Deaf Smith County,6123,0,1,0,0,0
Dearborn County,11683,0,0,0,2,0
Decatur County,6723,1,0,0,0,0
Decatur County,2333,0,0,0,1,0
Defiance County,9050,1,0,0,0,0
Del Norte County,5769,0,0,0,0,0
Delaware County,22127,0,0,0,5,0
Delaware County,52195,0,0,0,1,0
Delaware County,8828,0,0,1,3,0
Delaware County,126103,2,0,0,2,0
Denton County,196628,4,1,0,4,0
Denver County,138747,4,12,3,9,2
Des Moines County,9259,1,0,0,2,0
Deschutes County,36293,0,0,0,3,0
