County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Brevard County,15,11,1,18,2,51790,6,59586,9,422118
Brewster County,0,0,0,1,1,3953,0,128,0,4861
Bristol County,1,0,0,2,1,38239,1,26047,0,471619
Bristol County,2,1,0,2,0,292,0,1013,2,15396
Bronx County,4,1,1,3,1,788111,3,625599,0,146692
Brooke County,1,0,0,1,0,188,0,376,1,22588
Broome County,2,2,0,2,0,7696,0,11248,2,166759
Broomfield County,1,1,0,1,0,7456,0,869,1,48467
Broward County,19,14,2,25,3,514039,16,540208,5,743955
Brown County,3,2,0,3,1,20533,0,6416,2,210982
Brunswick County,2,1,0,2,0,5704,1,13309,1,96732
Bryan County,0,0,0,1,0,2446,0,845,1,32207
Buchanan County,2,2,0,3,0,5369,0,5369,3,75526
Buchanan County,1,1,0,1,0,138,0,646,1,22112
Buckingham County,0,0,0,1,0,355,1,5851,0,10316
Bullitt County,2,1,0,2,0,1325,0,857,1,74213
Bulloch County,1,1,0,1,0,2667,0,20977,1,46279
Buncombe County,2,2,0,2,0,16285,1,16285,1,209701
Burke County,1,0,0,1,0,5190,0,6085,1,73468
Burleigh County,1,1,0,2,0,1719,0,1086,2,82176
Burlington County,1,0,0,1,1,33729,0,78701,0,309858
Burnet County,1,0,1,0,0,9842,0,1078,1,33167
Butler County,1,1,1,0,0,2980,0,1258,1,59471
Butler County,1,1,0,1,0,730,0,2363,1,38373
Butler County,5,2,0,5,0,16837,2,30306,3,309428
Butte County,9,4,3,7,1,34757,1,4036,7,164817
Butts County,2,1,0,2,0,724,0,6472,2,15796
Cabarrus County,1,1,0,1,0,19210,1,32849,0,132551
Cabell County,2,2,0,2,0,1359,0,4952,1,87592
Cache County,1,1,0,1,0,12426,0,946,1,99644
Caddo Parish County,11,7,0,12,0,7072,8,121754,4,117207
Caddo County,2,1,0,2,0,3312,0,879,0,17091
Calaveras County,1,0,0,1,0,5131,0,446,1,36636
Calcasieu Parish County,3,2,0,3,0,6113,2,49892,1,135281
Caldwell County,1,1,0,1,0,190,1,699,0,11592
Caldwell County,7,7,3,4,0,4074,1,4155,5,71705
Caldwell County,1,0,0,1,1,19825,0,2786,0,16720
Calhoun County,7,6,1,7,1,4057,1,24458,5,84502
Calhoun County,0,0,0,1,0,303,0,3955,1,2126
Calhoun County,2,1,0,2,0,6474,0,14971,2,106553
Callaway County,1,0,0,1,0,895,0,2103,1,40454
Calloway County,0,0,0,1,0,995,0,1569,1,34224
Cambria County,1,0,0,1,0,2065,0,4820,1,128228
Camden County,1,0,1,1,0,3225,2,10145,0,36418
Camden County,4,3,0,4,2,79721,1,107829,0,297935
Cameron County,6,2,0,6,6,372887,0,3783,0,41618
Campbell County,2,1,0,2,0,3962,0,434,2,42424
Canadian County,2,1,0,2,0,10366,0,3757,2,100685
