County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Graham County,1,1,0,1,0,12184,0,797,1,19509
Grand Forks County,2,2,0,2,0,2665,0,2454,1,60108
Granite County,1,0,0,1,0,67,0,12,1,3035
Grant County,1,0,0,1,0,471,1,508,0,16819
Grant County,1,0,0,1,0,2742,0,5005,1,58695
Grant County,1,1,0,1,0,14431,0,349,0,13675
Grant County,1,1,0,1,1,37165,0,1676,0,51882
Grant County,1,0,0,1,0,725,0,673,1,49496
Grays Harbor County,2,1,0,2,0,6940,0,991,2,56512
Grayson County,3,2,0,3,0,366,0,314,2,25120
Grayson County,2,0,0,3,0,15565,1,7659,2,94874
Grayson County,2,2,0,2,0,452,0,347,2,14096
Green County,1,1,0,1,1,1074,0,222,0,35061
Greene County,0,0,0,1,0,1038,1,6035,0,9234
Greene County,10,8,0,12,0,10005,1,9147,10,252704
Greene County,1,0,0,1,0,4423,0,11958,1,138264
Greene County,3,3,1,2,0,1913,1,1503,2,63688
Greenlee County,1,1,0,1,0,4355,0,168,1,4467
Greenup County,1,1,0,2,0,399,0,363,2,34928
Greenville County,13,11,3,10,0,42482,5,89309,8,334547
Greenwood County,1,1,0,1,0,4032,1,22315,0,41990
Gregg County,4,3,1,5,0,22176,2,25256,4,72443
Grenada County,1,1,0,1,0,259,0,9186,1,11959
Guadalupe County,3,2,1,3,1,54482,0,11632,3,76864
Guernsey County,1,1,0,1,0,395,0,633,1,37570
Guilford County,8,8,2,6,0,38921,4,174120,3,267838
Gulf County,1,1,0,1,0,797,0,3045,1,11702
Gunnison County,1,1,0,1,0,1462,0,78,1,13759
Guthrie County,1,0,0,1,0,246,0,32,1,10271
Gwinnett County,8,4,0,8,0,179974,5,237038,2,356436
Habersham County,1,1,0,1,0,5950,0,1750,1,34432
Hale County,1,1,0,1,1,20207,0,2048,0,12221
Hall County,5,4,1,5,3,52459,0,15451,2,118081
Hall County,2,0,0,2,2,15926,0,1660,0,42675
Hamblen County,4,2,0,4,0,6870,0,2836,3,51941
Hamilton County,1,1,0,1,0,816,1,120,0,13696
Hamilton County,3,3,2,1,1,11499,0,12407,2,256926
Hamilton County,1,0,0,1,0,66,0,47,1,4507
Hamilton County,8,4,1,7,0,23392,6,210530,1,538022
Hamilton County,16,10,1,16,1,17912,1,69541,12,251122
Hampden County,1,0,0,1,0,108613,0,50093,1,304304
Hampshire County,1,1,0,1,0,305,0,305,1,22520
Hampton County,0,0,0,1,0,7254,1,68165,0,54888
Hancock County,1,1,0,1,0,1654,0,3859,1,38918
Hancock County,0,0,0,1,0,3766,0,1356,1,67803
Hancock County,1,1,0,1,0,361,1,782,0,28455
Haralson County,1,1,0,1,0,400,1,1460,0,26091
Hardeman County,1,0,0,1,0,895,0,239,1,2706
Hardin County,3,2,0,3,0,6171,1,13858,2,82498
Hardin County,1,1,0,1,0,517,0,957,1,23826
Hardin County,2,1,0,2,0,3114,0,3170,2,48279
Harford County,2,2,0,3,0,10504,0,33514,3,193581
Harlan County,1,1,0,1,0,225,0,647,1,26783
Harney County,1,1,0,1,0,349,0,35,1,6256
Harris County,75,56,10,75,23,1856492,31,866067,14,1394590
Harrison County,1,1,0,1,0,707,0,235,1,37727
Harrison County,8,4,0,11,0,10749,4,47773,6,129984
Harrison County,1,0,0,1,0,8282,1,15150,0,42556
Harrison County,4,3,1,3,0,1100,1,1168,3,64841
Harrisonburg County,2,1,1,1,0,9760,0,4408,2,35737
Hart County,1,1,0,1,0,316,0,892,0,17072
Hartford County,5,4,2,6,4,152657,2,136493,2,569322
Harvey County,2,2,1,2,1,4004,2,661,0,29109
Hawaii County,5,3,0,7,0,23885,0,1747,1,59422
Hawkins County,3,3,0,3,0,794,1,851,1,54068
Hays County,4,2,0,4,0,68459,0,7586,3,103984
Haywood County,2,2,0,2,0,2200,0,713,1,55426
Heard County,1,1,0,1,0,290,0,1241,1,9792
Henderson County,4,4,0,4,0,11003,1,3779,3,93254
Henderson County,0,0,0,1,0,644,1,2268,0,24479
Henderson County,1,1,0,1,0,9514,0,5312,0,62718
Hendricks County,1,0,0,1,0,5461,0,9363,1,134832
Hennepin County,12,7,8,9,2,82420,7,152720,7,852080
Henry County,1,1,0,1,0,446,1,4692,0,11757
Henry County,6,6,0,6,0,13687,3,86830,3,103940
Henry County,1,1,0,1,0,2680,0,943,1,45167
Henry County,4,3,0,4,0,783,0,1322,4,46006
Henry County,1,1,0,1,0,462,1,308,0,20684
Henry County,1,1,0,1,0,2812,1,11457,0,36717
Hernando County,4,3,0,6,0,20399,0,10023,6,141035
Hertford County,1,1,0,1,0,923,0,14536,1,8240
Hickman County,1,0,0,1,0,512,0,1243,1,22140
Hidalgo County,9,6,0,11,8,757938,0,7479,1,59006
Highlands County,3,1,0,3,0,18075,0,10413,3,67488
Hillsborough County,18,8,2,20,5,348818,7,230352,7,679209
Hillsborough County,4,1,0,4,0,24311,0,10534,4,350078
Hinds County,6,3,0,7,0,3899,5,172560,0,63856
Hockley County,1,0,0,1,1,11010,0,1037,0,11316
Holmes County,1,0,1,1,0,530,0,1336,1,17095
Honolulu County,13,4,2,16,1,94219,0,30745,2,194390
Hopewell County,2,1,1,1,0,1598,1,8745,1,11186
Hopkins County,1,1,0,1,0,834,0,3107,1,41228
Hopkins County,1,0,0,1,0,5819,0,2694,1,26653
Horry County,8,8,2,7,0,18228,1,40939,7,230698
Houston County,2,1,0,2,0,9841,0,45180,2,86931
Howard County,2,1,0,2,0,2572,0,6057,2,71364
Howard County,2,0,0,3,1,19794,1,57526,1,171343
Hudson County,4,3,0,4,1,288388,2,101036,1,196050
Hudspeth County,1,0,0,1,0,2511,1,57,0,613
Hughes County,0,0,0,1,0,648,0,800,0,8904
Humboldt County,4,4,1,3,0,14559,1,1887,3,101780
Humboldt County,1,1,0,1,0,385,0,67,1,9071
Humphreys County,1,1,0,1,0,362,0,489,1,16901
Hunt County,1,0,1,1,0,13185,1,7433,0,64953
Huntingdon County,2,2,0,2,0,823,0,2561,2,41724
Huntington County,2,1,0,2,0,770,0,220,2,35017
Huron County,1,1,0,1,0,673,0,160,0,30686
Hutchinson County,1,1,0,1,1,4855,0,653,0,15545
Iberia Parish County,2,0,0,2,0,2882,0,23799,1,43978
Iberville Parish County,1,1,0,1,0,866,0,16330,1,15863
Imperial County,4,0,0,4,2,147391,0,6268,0,22028
Independence County,2,2,0,2,0,2180,0,850,0,33004
Indian River County,3,1,0,4,0,17225,1,13606,3,110448
Ingham County,2,2,1,1,0,21628,1,34719,1,202337
Iowa County,1,1,0,1,0,409,0,114,1,15670
Iredell County,4,2,0,4,0,12167,0,20334,4,128006
Iron County,2,2,0,2,0,3923,0,330,1,40793
Isanti County,1,1,0,1,0,691,0,307,0,36300
Island County,1,1,0,1,0,5628,0,2298,1,63895
Itasca County,1,1,0,1,0,592,0,182,1,41987
Jackson County,1,0,0,1,0,1527,0,1895,1,47082
Jackson County,2,1,0,2,0,2342,0,13176,2,32062
Jackson County,0,0,0,1,0,4145,0,4454,1,51166
Jackson County,2,2,0,2,0,2797,0,437,2,39378
Jackson County,1,0,0,1,0,93,0,39,1,13036
Jackson County,2,2,0,2,1,5431,1,13258,0,135779
Jackson County,37,30,0,41,3,60120,18,163965,15,429727
Jackson County,4,2,1,4,0,7762,2,31191,3,96678
Jackson County,1,0,0,1,0,327,0,229,1,31503
Jackson County,6,5,1,5,0,25234,0,1682,4,172645
Jackson County,2,2,2,0,0,681,0,454,1,17822
Jasper County,1,1,0,1,0,564,0,2887,1,9738
Jasper County,2,1,0,3,0,8815,0,2821,3,99794
Jasper County,2,2,0,2,1,3776,1,11981,0,11139
Jay County,1,0,1,0,0,635,0,84,1,20183
Jefferson Parish County,11,8,1,11,0,60128,9,118514,1,235722
Jefferson County,17,16,0,19,0,25110,8,283480,10,335682
Jefferson County,3,3,1,2,0,1373,2,40124,0,29135
Jefferson County,18,13,0,18,5,84892,0,7260,12,440100
Jefferson County,2,2,0,2,0,2783,0,108,1,23562
Jefferson County,0,0,0,1,0,812,0,649,1,30349
Jefferson County,23,12,11,13,1,36481,10,163405,12,526698
Jefferson County,1,0,0,1,0,37,1,6466,0,1063
Jefferson County,1,1,0,1,0,947,1,3723,0,61466
Jefferson County,9,5,0,9,0,47672,3,86516,4,107199
Jefferson County,2,2,0,2,0,5823,1,843,1,76039
Jefferson County,1,1,0,1,0,3064,0,3788,1,46631
Jersey County,1,1,0,1,0,293,0,157,1,21735
Jessamine County,2,1,0,2,0,1473,0,1778,2,45987
Jim Wells County,1,0,0,1,0,32958,0,413,1,7733
Jo Daviess County,1,1,0,1,0,689,0,133,1,21096
Johnson County,1,0,0,1,0,3510,0,546,0,21090
Johnson County,1,0,1,0,0,5016,0,2803,1,133964
Johnson County,5,4,0,6,0,42496,1,28713,5,463437
Johnson County,1,1,0,1,0,162,0,116,1,22680
Johnson County,1,1,0,1,0,2174,0,2663,0,46751
Johnston County,1,0,0,1,0,510,0,233,1,7816
Jones County,1,1,0,1,0,443,0,3133,1,6257
Josephine County,5,4,0,6,0,5851,0,501,5,73232
Kalamazoo County,2,2,0,3,0,12164,0,29505,3,203172
Kanabec County,0,0,0,1,0,270,0,95,1,15149
Kanawha County,8,7,0,10,0,2092,1,14456,8,167396
Kane County,5,4,1,4,1,165046,2,32165,1,306364
Kaufman County,2,1,1,2,0,21579,0,11902,1,75084
Kay County,2,1,0,2,0,3274,0,1045,1,34426
Kenai Peninsula Borough County,2,2,1,3,0,2299,0,459,4,46786
Kendall County,2,2,0,3,1,8709,1,427,1,28926
Kennebec County,2,1,0,4,0,1816,0,847,4,114935
Kenosha County,2,2,0,2,0,21176,0,12268,2,129076
Kent County,3,2,1,2,0,11867,0,43340,3,108867
Kent County,1,1,1,0,0,852,1,2992,0,15558
Kent County,5,4,2,3,0,63552,3,65440,2,471927
Kenton County,3,2,1,2,1,4753,0,8032,1,146224
Kern County,33,18,4,38,23,450413,5,55099,9,316601
Kerr County,3,1,0,3,0,12943,0,1011,3,35494
King George County,2,1,0,2,0,1116,0,4389,1,18749
King County,41,22,9,39,6,195516,14,139357,16,1297899
Kings County,7,3,0,7,3,79943,1,10969,1,50640
Kings County,6,3,1,5,0,511249,5,922871,1,938601
Kiowa County,0,0,0,1,0,88,0,9,1,1281
Kitsap County,3,2,0,4,0,18301,0,7371,2,197500
Kittitas County,2,2,0,2,1,3741,0,510,1,35803
Klamath County,3,3,0,3,1,7789,0,589,2,51971
Knott County,1,1,0,3,0,127,0,143,3,15494
Knox County,0,0,0,1,0,682,0,1176,1,35244
Knox County,4,4,0,5,0,349,0,413,4,30557
Knox County,4,2,0,7,1,17497,2,40377,4,372374
Knox County,1,1,0,1,0,1296,0,235,1,2287
Kootenai County,2,1,0,2,0,6335,0,589,2,134213
La Crosse County,1,1,0,1,0,2006,0,1770,1,106681
La Paz County,4,3,0,5,2,5199,0,242,1,11996
La Plata County,1,1,0,1,0,6802,0,323,1,42759
Labette County,1,1,0,1,0,922,0,964,1,17836
Lackawanna County,1,1,0,1,0,13188,0,7019,1,186129
Laclede County,1,1,0,1,0,779,0,318,1,33241
Lafayette Parish County,2,1,0,2,0,10603,1,61503,1,156467
Lafayette County,1,1,0,1,0,849,0,784,1,30138
Lafayette County,3,2,1,2,0,1217,0,12544,3,37156
Lafourche Parish County,0,0,0,1,0,4508,0,13428,1,75181
Lake County,4,2,1,3,0,12259,0,1347,4,46276
Lake County,9,5,0,9,1,43565,1,33463,7,228559
Lake County,8,5,2,7,1,148089,4,52888,4,446382
Lake County,11,10,0,11,0,88731,9,124027,1,268154
Lake County,0,0,0,1,0,9169,0,8939,1,204931
Lamar County,1,1,0,1,0,1502,0,12380,1,44713
Lamar County,3,2,0,4,1,3714,0,6685,3,37043
Lamb County,1,0,0,1,1,7329,0,692,0,5470
Lancaster County,6,5,2,4,0,19918,1,11770,5,249886
Lancaster County,4,3,1,3,2,52265,1,25599,1,443722
Lancaster County,1,1,0,1,0,4158,0,18877,1,58378
Lane County,11,7,1,11,3,29741,0,3941,9,297778
Langlade County,1,1,0,1,0,368,0,135,1,18400
Laramie County,2,2,0,2,0,13783,0,3277,1,75858
Larimer County,8,3,2,7,1,35977,0,3565,6,270641
Las Animas County,3,2,1,3,1,5972,1,252,0,7405
Latimer County,1,0,0,1,0,363,0,128,0,7196
Lauderdale County,1,1,0,1,0,2234,0,9681,1,78852
Lauderdale County,4,2,1,3,0,1754,0,34208,3,42421
Laurel County,2,2,0,3,0,840,0,480,3,57614
Lawrence County,1,0,1,0,0,736,0,3816,1,25576
Lawrence County,1,1,0,1,0,731,0,228,1,43830
Lawrence County,1,0,0,1,0,2699,0,190,1,34144
Lawrence County,2,1,0,2,1,1065,0,3639,1,82113
Lawrence County,1,1,0,1,0,789,0,246,1,22511
Lawrence County,1,0,0,1,0,803,0,760,1,39779
Le Flore County,2,1,0,2,0,3284,0,1144,2,35927
Lea County,6,6,0,6,3,38989,0,3079,3,26949
Leavenworth County,1,0,0,1,0,5436,1,7564,0,62407
Lebanon County,2,1,0,2,0,15544,0,4499,2,114950
Lee County,0,0,0,1,0,6015,1,36558,0,104430
Lee County,8,8,1,7,1,133184,2,61835,4,470222
Lee County,1,0,0,1,0,758,0,6042,0,21280
Lee County,2,2,0,2,0,1199,1,1093,1,32110
Lee County,1,1,0,2,0,2131,2,24465,0,57029
Lee County,2,1,1,1,1,11634,0,11992,0,34782
Lee County,1,0,0,1,0,3833,1,1891,0,10748
Lehigh County,4,3,0,4,0,76931,0,30057,3,243677
Lenoir County,1,1,0,1,0,4386,1,23978,0,29300
Leon County,6,5,1,7,0,17323,4,89740,3,163293
Leon County,0,0,0,1,0,2394,0,1264,1,12864
Lewis and Clark County,1,1,0,1,0,1975,0,329,1,60324
Lewis County,2,2,0,2,0,261,0,261,1,11108
Lewis County,2,0,0,2,1,7287,0,601,0,63483
Lexington County,7,5,0,9,0,16117,1,42238,8,210361
Lexington County,1,1,0,1,0,277,0,701,0,5929
Limestone County,1,1,0,1,0,5265,0,12256,1,70087
Lincoln Parish County,1,1,0,1,0,1285,0,19808,1,25237
Lincoln County,2,1,0,2,0,341,0,170,2,32905
Lincoln County,2,1,0,2,0,382,0,10780,2,23264
Lincoln County,2,2,0,2,0,5747,0,4630,2,68014
Lincoln County,4,3,0,4,1,6207,0,197,3,12552
Lincoln County,1,1,0,1,0,1073,0,657,1,28803
Lincoln County,1,1,0,1,0,427,0,398,1,27153
Linn County,2,1,0,3,0,6314,2,9798,1,191838
Litchfield County,2,1,0,2,1,10174,0,3329,1,166308
Livingston Parish County,3,3,0,3,0,4751,0,8552,3,119868
Livingston County,2,0,0,2,0,270,0,481,2,13999
Livingston County,1,0,0,1,0,2195,0,1937,1,58708
Llano County,2,1,0,2,0,1911,0,253,2,16993
Logan County,1,0,0,2,1,3626,0,968,0,17320
Logan County,1,1,1,0,0,1011,1,2409,0,25760
Logan County,2,1,0,2,0,752,0,1800,2,23750
Logan County,3,2,0,3,0,2535,0,4074,3,35224
Long County,1,1,0,1,0,2019,1,4380,0,10113
Lonoke County,5,5,0,5,0,2862,0,4436,5,62111
Lorain County,1,1,0,1,0,27987,1,27075,0,240939
Los Angeles County,208,106,34,210,123,4896485,56,930736,39,2711276
Loudon County,3,1,1,3,0,4010,0,812,3,44983
Loudoun County,1,0,0,1,0,48648,0,28317,1,213473
Lowndes County,3,1,1,3,1,6243,1,41549,2,62324
Lowndes County,3,2,2,2,0,1134,2,26281,2,31358
Lubbock County,3,1,1,3,2,99951,1,22929,0,162273
Lucas County,8,4,2,8,1,29164,4,85751,4,304264
Lumpkin County,1,0,0,1,0,1527,0,592,1,28214
Luna County,5,5,0,5,5,16012,0,419,0,7895
Luzerne County,3,1,0,3,0,29013,0,15622,2,271323
Lycoming County,1,1,0,1,0,2330,0,5475,1,105905
Lynchburg County,1,0,0,1,0,2608,0,22528,1,49878
Lynn County,0,0,0,1,1,2752,0,144,0,2816
Lyon County,1,1,0,2,0,8182,0,673,1,39515
Mackinac County,1,1,0,1,0,176,0,176,1,8193
Macomb County,5,4,0,5,0,21502,2,94612,1,694970
Macon County,1,0,1,0,0,291,0,15831,1,3146
Macon County,2,2,0,2,0,2235,0,609,2,30385
Macoupin County,2,1,0,2,0,464,0,510,1,44734
Madera County,4,0,1,4,2,86701,0,6645,2,55328
Madison County,11,8,5,7,1,16464,4,86173,7,229445
Madison County,1,1,0,2,0,2662,0,266,2,34005
Madison County,2,1,0,2,1,8263,0,22124,1,228441
Madison County,1,1,0,1,0,4812,0,11055,1,111339
Madison County,1,1,0,2,0,2008,0,4104,2,78606
Madison County,0,0,0,1,0,2847,0,38946,1,56843
Madison County,1,0,0,1,0,3534,0,36620,0,55765
Magoffin County,1,1,0,1,0,103,0,38,1,12641
Mahoning County,1,1,0,1,0,12593,0,37079,1,179100
Malheur County,2,1,0,2,1,10048,0,455,1,18731
Manatee County,5,3,0,6,0,55224,3,32712,2,253608
Manistee County,1,1,0,1,0,732,0,805,1,21831
Manitowoc County,2,1,0,2,0,2805,0,641,2,73426
Marathon County,4,3,0,4,0,3530,0,1086,3,121251
Marengo County,1,1,0,1,0,482,0,10256,1,9170
Maricopa County,147,101,26,147,64,1238418,19,232969,66,2329698
Marin County,2,0,0,2,1,41720,0,7561,1,188261
Marinette County,4,4,0,4,0,619,0,206,3,39522
Marion County,1,0,0,1,0,756,0,1271,0,27758
Marion County,2,2,0,2,0,376,0,65,2,15483
Marion County,4,3,1,4,1,40360,0,44770,4,244878
Marion County,17,15,3,18,0,91555,14,259719,6,540926
Marion County,1,1,0,1,0,390,0,146,1,11390
Marion County,7,6,1,8,2,83810,0,4565,6,218167
Marion County,1,1,0,1,0,482,0,1164,1,26134
Marion County,0,0,0,2,0,681,0,1988,2,52826
Marshall County,2,2,1,1,0,12208,0,2555,2,77885
Marshall County,1,1,0,1,0,1563,0,2157,1,26891
Martin County,2,1,0,2,0,19787,1,8743,1,121639
Martin County,1,1,0,1,0,401,0,902,1,11095
Martin County,1,0,0,1,0,768,0,121,1,18986
Martinsville County,1,1,1,0,0,658,1,6183,0,6526
Mason County,3,2,0,3,0,5403,0,849,2,49540
Massac County,2,2,0,2,0,387,0,864,2,13265
Matagorda County,2,2,0,2,0,14753,1,4199,0,16689
Matanuska-Susitna Borough County,9,6,0,10,0,4600,2,1272,7,78599
Maui County,1,1,1,0,0,17932,0,1467,0,51024
Maury County,2,1,0,3,0,4532,0,10261,2,68412
Mayes County,1,1,0,1,0,1306,0,244,1,26856
McClain County,1,1,0,1,0,2798,0,335,1,29775
McCracken County,2,2,0,2,0,1567,0,7119,2,54604
McCurtain County,3,2,0,3,1,1817,1,2875,0,20986
McDowell County,1,1,0,1,0,2473,0,1843,1,39749
McDowell County,1,0,0,1,0,122,0,1840,0,18178
McHenry County,1,1,0,1,0,38103,0,4301,1,252586
McIntosh County,1,0,0,1,0,284,0,4960,1,8727
McIntosh County,1,1,0,1,0,502,1,642,0,13780
McKinley County,1,0,0,2,0,10373,0,740,0,7261
McLennan County,5,2,0,6,0,61347,2,36759,3,139491
McLeod County,1,1,0,1,0,1937,0,251,1,33119
McMinn County,1,1,0,1,0,1736,0,2157,1,47310
McNairy County,0,0,0,1,0,525,1,1576,0,23666
McPherson County,0,0,0,1,0,1111,0,350,1,26960
Mecklenburg County,18,15,6,13,2,128592,10,326037,6,494119
Mecklenburg County,1,1,0,1,0,842,0,10886,1,18746
Medina County,2,0,0,3,0,3344,0,2464,2,165819
Mendocino County,1,1,0,1,0,21176,0,878,1,58169
Merced County,9,2,1,8,6,153152,0,11186,1,78574
Mercer County,4,1,0,5,0,61675,2,78765,2,192456
Mercer County,1,1,0,1,0,734,0,163,1,39238
Mercer County,1,0,0,1,0,1493,0,6778,1,104084
Mercer County,4,0,1,3,0,617,1,3892,3,55853
Meriwether County,1,1,0,1,0,466,0,8352,1,11976
Mesa County,7,5,0,8,1,20903,0,1482,7,121569
Metcalfe County,1,1,0,1,0,159,0,189,1,9520
Miami-Dade County,46,29,1,51,13,1762822,21,503283,7,394105
Middlesex County,1,1,0,1,0,9566,0,8906,1,139541
Middlesex County,6,0,0,7,2,117773,0,86367,5,1171454
Middlesex County,3,2,0,3,0,166423,1,93665,2,379678
Midland County,1,1,0,1,0,2085,0,1167,1,76752
Midland County,6,3,0,6,1,66071,0,10596,3,75733
Mifflin County,1,1,0,1,0,605,0,372,1,44876
Mille Lacs County,1,1,0,1,0,465,0,129,0,23269
Milwaukee County,21,16,7,15,2,135809,13,260142,6,506895
Mineral County,0,0,0,1,0,119,0,21,1,3886
Mineral County,1,1,0,1,0,248,0,854,1,25978
Minnehaha County,2,2,0,2,0,8961,0,8412,1,153986
Mississippi County,2,1,1,3,0,1769,2,15438,2,26275
Missoula County,4,2,0,4,0,3493,0,676,4,101077
Mitchell County,1,0,0,1,0,704,0,107,1,14254
Mobile County,11,8,1,11,0,11623,3,146538,8,239941
Moffat County,1,1,0,1,0,1848,0,64,1,10626
Mohave County,12,9,3,10,2,32131,0,2643,9,158621
Monmouth County,4,0,0,4,0,66074,1,48454,3,476364
Monongalia County,5,3,2,3,0,2069,1,4035,4,92082
Monroe County,1,1,0,1,0,263,1,9020,0,12005
Monroe County,1,0,0,1,0,539,0,134,1,32575
Monroe County,1,1,1,0,0,4730,0,5016,1,121121
Monroe County,2,2,0,2,0,396,0,11088,2,24122
Monroe County,5,4,1,4,0,60738,2,120726,3,536147
Monroe County,3,2,0,3,0,24281,0,25113,1,113426
Monroe County,1,0,0,1,0,1815,0,680,0,41476
Montague County,2,2,0,2,0,2038,0,155,2,16794
Montcalm County,1,1,0,1,0,2138,0,1509,1,57924
Monterey County,8,5,1,7,3,247591,0,15097,4,134579
Montezuma County,1,1,0,1,0,3144,0,128,0,18865
Montgomery County,4,2,1,3,0,7690,2,128249,1,82106
Montgomery County,0,0,0,1,0,326,0,54,0,8382
Montgomery County,0,0,0,1,0,499,0,998,1,27480
Montgomery County,1,1,0,1,0,1716,0,381,1,35285
Montgomery County,8,3,4,5,1,192693,5,193724,3,474005
Montgomery County,15,12,1,15,0,13861,9,112487,7,383310
Montgomery County,3,1,0,4,0,39209,2,76784,1,629796
Montgomery County,3,3,0,4,0,18236,1,37422,3,123284
Montgomery County,6,3,0,6,0,116763,1,25428,5,355997
Montgomery County,1,1,0,1,0,2917,0,4084,1,82365
Montrose County,1,1,0,1,0,8256,0,286,0,31267
Moore County,2,2,0,2,0,5863,0,12100,2,71948
Moore County,1,0,0,1,0,11694,0,664,1,7729
Morehouse Parish County,1,1,0,1,0,321,1,12818,0,13272
Morgan County,1,0,0,1,0,9999,0,878,1,17025
Morton County,1,0,0,1,0,805,0,268,0,27078
Mower County,1,0,0,1,0,4404,0,1336,1,32126
Muhlenberg County,2,2,0,2,0,436,0,1560,2,28772
Multnomah County,18,5,0,19,0,86991,4,44272,15,553795
Muscogee County,2,1,0,3,0,15066,1,92608,1,85176
Muskingum County,1,1,0,1,0,858,0,3432,1,78780
Muskogee County,4,3,2,2,0,3988,2,7696,2,40090
Nacogdoches County,2,1,0,2,0,12080,0,11950,2,39376
Napa County,5,4,1,5,3,47741,0,3400,3,76075
Nash County,1,1,1,0,1,6227,0,37176,0,48688
Nassau County,5,3,0,6,0,2911,1,4980,5,66811
Nassau County,3,0,0,3,1,218738,1,171187,1,846424
Natrona County,5,4,0,5,0,6611,0,1387,5,70849
Navajo County,4,3,1,3,0,11999,0,1405,2,45618
Nelson County,1,1,0,1,0,941,0,2375,1,40599
Neshoba County,1,1,0,1,0,589,0,6246,1,17413
Nevada County,3,1,0,3,0,9098,0,593,2,84652
New Castle County,6,5,2,7,0,51961,5,137641,2,328902
New Hanover County,3,3,0,3,0,11680,0,31579,3,166333
New Haven County,3,1,2,1,1,144694,1,122301,1,559830
New London County,4,2,0,4,0,27093,1,18883,2,208814
New York County,29,17,7,24,6,423793,20,299437,1,770682
Newberry County,1,1,0,1,0,2833,0,11826,1,22669
Newport News County,4,3,0,4,0,15552,3,75198,1,82700
Newport County,1,1,0,1,1,4364,0,3376,0,71404
Newton County,3,3,0,3,0,5080,2,44580,1,51837
Newton County,1,1,0,1,0,2929,0,585,1,50863
Nicholas County,1,1,0,1,0,180,0,77,1,25052
Noble County,1,1,0,1,0,379,0,206,1,9448
Nolan County,2,2,0,2,0,5433,0,784,2,8708
Norfolk County,3,1,0,3,0,27690,0,47765,3,538573
Norfolk County,7,5,2,5,0,18407,4,104797,3,107988
North Slope Borough County,1,1,0,1,0,378,0,145,0,3114
Northampton County,1,0,0,1,0,36078,0,18941,1,236013
Nueces County,8,6,4,5,6,222281,1,15673,1,110072
Nye County,4,3,2,2,0,6088,1,1141,3,32768
Oakland County,7,5,0,9,0,47038,3,179490,6,907357
Ocean County,5,2,1,5,0,52180,1,20520,3,498355
Oconee County,0,0,0,1,0,3609,0,5864,1,64063
Oconto County,1,1,0,1,0,636,0,112,1,35695
Okaloosa County,5,5,0,5,1,16703,0,19847,3,146794
Okanogan County,1,1,0,1,0,7845,0,330,1,27416
Okfuskee County,0,0,0,1,0,487,0,974,1,7530
Oklahoma County,37,25,14,28,5,124126,18,120295,16,442106
Okmulgee County,3,2,0,5,0,1446,1,3362,4,24825
Oldham County,1,1,0,1,0,2412,1,2793,0,56315
Oneida County,1,0,0,1,0,12342,0,15835,1,193282
Onondaga County,7,4,2,5,0,21537,5,54778,1,364256
Onslow County,2,2,0,2,0,22698,0,29639,1,125497
Ontario County,1,1,0,1,0,4717,1,2852,0,99394
Orange County,34,14,13,38,23,1078911,4,66055,9,1321116
Orange County,21,15,3,23,6,365876,10,278166,7,542549
Orange County,1,0,0,1,1,255,0,215,0,18782
Orange County,1,1,0,1,0,11795,1,17131,0,97732
Orange County,4,1,1,4,0,72963,2,44379,3,248601
Orange County,1,1,0,1,0,375,0,173,1,27618
Orangeburg County,0,0,0,1,0,1891,1,56035,0,30270
Orleans Parish County,8,6,5,4,0,21137,8,229823,1,119907
Orleans County,1,1,0,1,0,1973,0,2812,1,36274
Osage County,2,2,0,2,0,1583,0,5421,1,30803
Osceola County,2,1,0,2,0,154174,1,41568,0,111986
Osceola County,1,0,0,1,0,370,0,185,1,22056
Oswego County,1,1,0,1,0,2780,0,1330,1,114141
Otero County,4,3,1,3,2,23754,0,2733,0,33061
Otsego County,1,0,0,1,0,2139,0,1344,0,56054
Ottawa County,1,1,0,1,0,25971,0,4973,1,233466
Ottawa County,2,2,0,2,0,1701,0,385,2,21189
Ouachita Parish County,4,3,0,4,0,3439,4,58309,0,91450
Outagamie County,4,3,2,2,1,7462,2,2366,1,160893
Overton County,1,1,0,1,0,286,0,154,1,21190
Owen County,1,1,0,1,0,272,0,104,1,20214
Owsley County,1,0,0,1,0,45,0,22,1,4390
Owyhee County,1,1,1,0,1,3008,0,90,0,7742
Oxford County,1,1,0,1,0,686,0,228,1,54834
Page County,1,1,0,1,0,453,0,524,0,22512
Palm Beach County,11,7,0,13,3,289325,3,262769,7,800887
Panola County,0,0,0,1,0,2162,1,3803,0,17375
Park County,2,2,0,2,0,1013,0,98,2,14628
Park County,1,0,0,1,0,444,0,47,1,14879
Parker County,4,2,0,5,0,14040,1,2093,4,103950
Pasco County,6,4,2,4,0,65034,0,27178,6,375646
Passaic County,8,5,0,8,1,201506,3,75310,1,218299
Paulding County,1,1,0,2,0,8492,0,26817,2,109952
Payne County,2,1,0,3,0,3611,0,3130,3,62044
Peach County,3,3,0,3,0,1965,0,12141,3,12195
Pearl River County,1,1,0,1,0,1656,0,7068,1,45118
Pecos County,1,1,0,1,1,10743,0,699,0,4211
Pemiscot County,1,1,0,1,0,388,0,4712,0,12231
